S.No.,State Code,State Name,District Code,District Name,Census 2001 Code,Census 2011 Code
1,35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,02,638
2,35,ANDAMAN AND NICOBAR ISLANDS,632,NORTH AND MIDDLE ANDAMAN,,639
3,35,ANDAMAN AND NICOBAR ISLANDS,602,SOUTH ANDAMANS,01,640
4,28,ANDHRA PRADESH,502,ANANTAPUR,22,553
5,28,ANDHRA PRADESH,503,CHITTOOR,23,554
6,28,ANDHRA PRADESH,505,EAST GODAVARI,14,545
7,28,ANDHRA PRADESH,506,GUNTUR,17,548
8,28,ANDHRA PRADESH,510,KRISHNA,16,547
9,28,ANDHRA PRADESH,511,KURNOOL,21,552
10,28,ANDHRA PRADESH,517,PRAKASAM,18,549
11,28,ANDHRA PRADESH,515,SPSR NELLORE,19,550
12,28,ANDHRA PRADESH,519,SRIKAKULAM,11,542
13,28,ANDHRA PRADESH,520,VISAKHAPATANAM,13,544
14,28,ANDHRA PRADESH,521,VIZIANAGARAM,12,543
15,28,ANDHRA PRADESH,523,WEST GODAVARI,15,546
16,28,ANDHRA PRADESH,504,Y.S.R.,20,551
17,12,ARUNACHAL PRADESH,628,ANJAW,,260
18,12,ARUNACHAL PRADESH,229,CHANGLANG,12,253
19,12,ARUNACHAL PRADESH,230,DIBANG VALLEY,10,257
20,12,ARUNACHAL PRADESH,231,EAST KAMENG,03,247
21,12,ARUNACHAL PRADESH,232,EAST SIANG,08,251
22,12,ARUNACHAL PRADESH,718,KAMLE,,000
23,12,ARUNACHAL PRADESH,677,KRA DAADI,,000
24,12,ARUNACHAL PRADESH,233,KURUNG KUMEY,14,256
25,12,ARUNACHAL PRADESH,724,LEPARADA,,000
26,12,ARUNACHAL PRADESH,234,LOHIT,11,259
27,12,ARUNACHAL PRADESH,666,LONGDING,,000
28,12,ARUNACHAL PRADESH,235,LOWER DIBANG VALLEY,15,258
29,12,ARUNACHAL PRADESH,719,LOWER SIANG,,000
30,12,ARUNACHAL PRADESH,236,LOWER SUBANSIRI,05,255
31,12,ARUNACHAL PRADESH,678,NAMSAI,,000
32,12,ARUNACHAL PRADESH,723,PAKKE KESSANG,,000
33,12,ARUNACHAL PRADESH,237,PAPUM PARE,04,248
34,12,ARUNACHAL PRADESH,725,SHI YOMI,,000
35,12,ARUNACHAL PRADESH,679,SIANG,,000
36,12,ARUNACHAL PRADESH,238,TAWANG,01,245
37,12,ARUNACHAL PRADESH,239,TIRAP,13,254
38,12,ARUNACHAL PRADESH,240,UPPER SIANG,09,252
39,12,ARUNACHAL PRADESH,241,UPPER SUBANSIRI,06,249
40,12,ARUNACHAL PRADESH,242,WEST KAMENG,02,246
41,12,ARUNACHAL PRADESH,243,WEST SIANG,07,250
42,18,ASSAM,739,BAJALI,,000
43,18,ASSAM,616,BAKSA,,324
44,18,ASSAM,280,BARPETA,05,303
45,18,ASSAM,705,Biswanath,,000
46,18,ASSAM,281,BONGAIGAON,04,319
47,18,ASSAM,282,CACHAR,21,316
48,18,ASSAM,708,CHARAIDEO,,000
49,18,ASSAM,612,CHIRANG,,320
50,18,ASSAM,283,DARRANG,08,325
51,18,ASSAM,284,DHEMAJI,13,308
52,18,ASSAM,285,DHUBRI,02,301
53,18,ASSAM,286,DIBRUGARH,15,310
54,18,ASSAM,299,DIMA HASAO,20,315
55,18,ASSAM,287,GOALPARA,03,302
56,18,ASSAM,288,GOLAGHAT,18,313
57,18,ASSAM,289,HAILAKANDI,23,318
58,18,ASSAM,709,HOJAI,,000
59,18,ASSAM,290,JORHAT,17,312
60,18,ASSAM,291,KAMRUP,06,321
61,18,ASSAM,618,KAMRUP METRO,,322
62,18,ASSAM,292,KARBI ANGLONG,19,314
63,18,ASSAM,293,KARIMGANJ,22,317
64,18,ASSAM,294,KOKRAJHAR,01,300
65,18,ASSAM,295,LAKHIMPUR,12,307
66,18,ASSAM,706,MAJULI,,000
67,18,ASSAM,296,MARIGAON,09,304
68,18,ASSAM,297,NAGAON,10,305
69,18,ASSAM,298,NALBARI,07,323
70,18,ASSAM,300,SIVASAGAR,16,311
71,18,ASSAM,301,SONITPUR,11,306
72,18,ASSAM,707,SOUTH SALMARA MANCACHAR,,000
73,18,ASSAM,302,TINSUKIA,14,309
74,18,ASSAM,617,UDALGURI,,326
75,18,ASSAM,710,WEST KARBI ANGLONG,,000
76,10,BIHAR,188,ARARIA,07,209
77,10,BIHAR,611,ARWAL,33,240
78,10,BIHAR,189,AURANGABAD,34,235
79,10,BIHAR,190,BANKA,23,225
80,10,BIHAR,191,BEGUSARAI,20,222
81,10,BIHAR,192,BHAGALPUR,22,224
82,10,BIHAR,193,BHOJPUR,29,231
83,10,BIHAR,194,BUXAR,30,232
84,10,BIHAR,195,DARBHANGA,13,215
85,10,BIHAR,196,GAYA,35,236
86,10,BIHAR,197,GOPALGANJ,15,217
87,10,BIHAR,198,JAMUI,37,238
88,10,BIHAR,199,JEHANABAD,33,239
89,10,BIHAR,200,KAIMUR (BHABUA),31,233
90,10,BIHAR,201,KATIHAR,10,212
91,10,BIHAR,202,KHAGARIA,21,223
92,10,BIHAR,203,KISHANGANJ,08,210
93,10,BIHAR,204,LAKHISARAI,25,227
94,10,BIHAR,205,MADHEPURA,11,213
95,10,BIHAR,206,MADHUBANI,05,207
96,10,BIHAR,207,MUNGER,24,226
97,10,BIHAR,208,MUZAFFARPUR,14,216
98,10,BIHAR,209,NALANDA,27,229
99,10,BIHAR,210,NAWADA,36,237
