S.No.,State Code,State Name,District Code,District Name,Sub-district Code,Sub-district Version,Sub-district Name,Census 2001 code,Census 2011 code
1,21,ODISHA,360,KENDRAPARA,2925,1,Aali,2,02925
2,12,ARUNACHAL PRADESH,243,WEST SIANG,6087,7,Aalo HQ,,00000
3,8,RAJASTHAN,102,JAIPUR,7140,1,Aandhi,,00000
4,8,RAJASTHAN,107,JODHPUR,7146,3,Aau,,00000
5,8,RAJASTHAN,88,BANSWARA,6612,1,Abapura,,00000
6,24,GUJARAT,449,KACHCHH,3728,1,Abdasa,7,03728
7,36,TELANGANA,518,RANGA REDDY,6319,1,Abdullapurmet,,00000
8,22,CHHATTISGARH,387,RAIPUR,3331,1,Abhanpur,8,03331
9,21,ODISHA,355,JAGATSINGHAPUR,2937,1,Abhyachandpur,1,02937
10,3,PUNJAB,651,FAZILKA,238,2,Abohar,5,00238
11,13,NAGALAND,247,MON,1750,1,Aboi,7,01750
12,8,RAJASTHAN,115,SIROHI,595,2,Abu Road,4,00595
13,27,MAHARASHTRA,468,AMRAVATI,4004,1,Achalpur,4,04004
14,36,TELANGANA,694,NAGARKURNOOL,4579,2,Achampet,31,04579
15,28,ANDHRA PRADESH,523,WEST GODAVARI,4981,1,Achanta,38,04981
16,24,GUJARAT,459,SURAT,6518,1,Adajan,,00000
17,6,HARYANA,63,HISAR,393,2,Adampur,1,00393
18,10,BIHAR,213,PURBI CHAMPARAN,1032,1,Adapur,2,01032
19,21,ODISHA,353,GAJAPATI,3100,2,Adava,1,03100
20,36,TELANGANA,514,NALGONDA,6304,2,Adavidevulapalli,,00000
21,36,TELANGANA,697,YADADRI BHUVANAGIRI,6310,2,Adda Guduru,,00000
22,36,TELANGANA,512,MAHABUBNAGAR,4586,3,Addakal,38,04586
23,28,ANDHRA PRADESH,517,PRAKASAM,5112,1,Addanki,16,05112
24,28,ANDHRA PRADESH,505,EAST GODAVARI,4887,1,Addateegala,4,04887
25,23,MADHYA PRADESH,411,JABALPUR,7024,2,Adhartal,,00000
26,10,BIHAR,200,KAIMUR (BHABUA),1456,2,Adhaura,11,01456
27,5,UTTARAKHAND,47,CHAMOLI,6345,2,Adibadri,,00000
28,36,TELANGANA,501,ADILABAD,4306,4,ADILABAD URBAN,2,04306
29,20,JHARKHAND,341,SARAIKELA KHARSAWAN,2752,1,Adityapur(Gamharia),0009,02752
30,28,ANDHRA PRADESH,511,KURNOOL,5271,1,Adoni,22,05271
31,32,KERALA,564,PATHANAMTHITTA,5683,2,Adoor,5,05683
32,29,KARNATAKA,538,KALABURAGI,5581,1,Afzalpur,2,05581
33,28,ANDHRA PRADESH,502,ANANTAPUR,5354,1,Agali,51,05354
34,18,ASSAM,285,DHUBRI,2006,7,Agamoni,1,02006
35,23,MADHYA PRADESH,667,AGAR MALWA,3518,2,Agar,4,03518
36,21,ODISHA,348,BHADRAK,2910,1,Agarpada,1,02910
37,33,TAMIL NADU,575,KANNIYAKUMARI,5884,1,Agastheeswaram,4,05884
38,31,LAKSHADWEEP,553,LAKSHADWEEP DISTRICT,5626,1,Agatti,2,05626
39,13,NAGALAND,251,ZUNHEBOTO,1771,1,Aghunato,5,01771
40,10,BIHAR,193,BHOJPUR,1432,1,Agiaon,12,01432
41,28,ANDHRA PRADESH,510,KRISHNA,5005,1,Agiripalle,16,05005
42,9,UTTAR PRADESH,118,AGRA,766,1,Agra,2,00766
43,27,MAHARASHTRA,475,GADCHIROLI,4062,1,Aheri,11,04062
44,27,MAHARASHTRA,481,LATUR,4228,1,Ahmadpur,3,04228
45,3,PUNJAB,737,MALERKOTLA,6856,5,AHMEDGARH,,00000
46,8,RAJASTHAN,104,JALORE,586,1,Ahore,2,00586
47,24,GUJARAT,444,DANG,3921,4,Ahwa,1,03921
48,15,MIZORAM,261,AIZAWL,1904,1,Aibawk,3,01904
49,36,TELANGANA,501,ADILABAD,6221,1,AIDILABAD RURAL,,00000
50,28,ANDHRA PRADESH,505,EAST GODAVARI,4933,1,Ainavilli,49,04933
51,21,ODISHA,371,SAMBALPUR,2790,1,Ainthapali,13,02790
52,21,ODISHA,362,KHORDHA,3045,1,Airfield (Kapila Prasad),9,03045
53,13,NAGALAND,250,WOKHA,1781,1,Aitepyong,2,01781
54,23,MADHYA PRADESH,420,PANNA,3435,1,Ajaigarh,1,03435
55,1,JAMMU AND KASHMIR,623,BANDIPORA,6810,3,Ajas,,00000
56,9,UTTAR PRADESH,122,AURAIYA,6877,4,Ajitmal,,00000
57,29,KARNATAKA,532,CHIKKAMAGALURU,7078,12,AJJAMPURA,,00000
58,8,RAJASTHAN,86,AJMER,607,4,Ajmer,2,00607
59,3,PUNJAB,27,AMRITSAR,255,1,Ajnala,1,00255
60,27,MAHARASHTRA,480,KOLHAPUR,4292,1,Ajra,10,04292
61,22,CHHATTISGARH,379,JANJGIR-CHAMPA,3278,1,Akaltara,0,03278
62,9,UTTAR PRADESH,121,AMBEDKAR NAGAR,910,4,Akbarpur,3,00910
63,9,UTTAR PRADESH,156,KANPUR DEHAT,845,8,Akbarpur,3,00845
64,10,BIHAR,210,NAWADA,1519,1,Akbarpur,9,01519
65,1,JAMMU AND KASHMIR,5,JAMMU,78,11,Akhnoor,1,00078
66,28,ANDHRA PRADESH,523,WEST GODAVARI,4975,1,Akividu,32,04975
67,27,MAHARASHTRA,496,SOLAPUR,4254,1,Akkalkot,11,04254
68,27,MAHARASHTRA,486,NANDURBAR,3950,1,Akkalkuwa,1,03950
69,36,TELANGANA,692,SIDDIPET,6285,1,Akkannapet,,00000
70,8,RAJASTHAN,105,JHALAWAR,680,1,Aklera,3,00680
71,27,MAHARASHTRA,466,AHMEDNAGAR,4201,1,Akola,0001,04201
72,27,MAHARASHTRA,467,AKOLA,3991,1,Akola,4,03991
73,28,ANDHRA PRADESH,510,KRISHNA,4998,1,A.Konduru,9,04998
74,10,BIHAR,215,ROHTAS,1472,1,Akorhi Gola,16,01472
75,27,MAHARASHTRA,467,AKOLA,3989,1,Akot,2,03989
76,27,MAHARASHTRA,486,NANDURBAR,3951,1,Akrani,2,03951
77,13,NAGALAND,251,ZUNHEBOTO,1774,1,Akuhaito,0,01774
