Assembly Constituency Code,Assembly Constituency ECI Code,Assembly Constituency Name,Block Code,Block Name,District Census 2011 Code,District Code,District Name,Localbody Code,Localbody Name,Parliament Constituency code,Parliament Constituency ECI Code,Parliament Constituency Name,State Name,Subdistrict Census 2011 Code,Subdistrict Code,Subdistrict Name,Village Census 2011 Code,Village Code,Village Name
3641,53,Raichur Rural,5895,MANVI,559,546,RAICHUR,219744,GORKAL,475,3,Raichur,KARNATAKA,05462,5462,Manvi,601014,601014,Tammapur,
3654,135,Gubbi,5906,GUBBI,571,548,TUMAKURU,220128,BELAVATHA,477,8,Tumakuru,KARNATAKA,05538,5538,Gubbi,000000,925432,PURA GOLARAHATTI,
3581,34,Afzalpur,5840,KALABURAGI,579,538,KALABURAGI,218000,HEROOR B,468,2,Kalaburagi,KARNATAKA,05582,5582,Kalaburagi,620309,620309,Belgumpa (K),
3520,27,Devar Hippargi,5797,SINDAGI,557,530,VIJAYAPURA,216633,BEKINAL,460,28,Vijayapura,KARNATAKA,05451,5451,Sindgi,599439,599439,Bannihatti(P.T),
3590,194,Arsikere,5848,ARSIKERE,574,539,HASSAN,218280,NARASIPURA,469,19,Hassan,KARNATAKA,05555,5555,Arsikere,615627,615627,Hirekal Forest,
3517,29,Babaleshwar,5794,VIJAYAPURA,557,530,VIJAYAPURA,216517,DEVAR GENNUR,460,28,Vijayapura,KARNATAKA,05449,5449,Vijayapura,599150,599150,Kodabagi,
3606,143,Chintamani,5867,CHINTAMANI,582,630,CHIKKABALLAPURA,218873,RAGUTTAHALLI,471,10,Kolar,KARNATAKA,05600,5600,Chintamani,624646,624646,Kariyapalli,
3654,135,Gubbi,5906,GUBBI,571,548,TUMAKURU,220143,KONDLI,477,8,Tumakuru,KARNATAKA,05538,5538,Gubbi,611757,611757,Musakondli,
3623,187,Maddur,5880,MADDUR,573,544,MANDYA,219270,NAGARAKERE,473,14,Mandya,KARNATAKA,05551,5551,Maddur,614605,614605,Huligerepura,
3520,27,Devar Hippargi,5797,SINDAGI,557,530,VIJAYAPURA,216652,KALAKERI,460,28,Vijayapura,KARNATAKA,05451,5451,Sindgi,599433,599433,Kalkeri,
3501,93,Ballari,5781,BALLARI,565,528,BALLARI,216144,YERRAGUDI,458,5,Ballari,KARNATAKA,05500,5500,Ballari,604904,604904,Bennikallu,
3665,124,Mudigere,5805,MUDIGERE,570,532,CHIKKAMAGALURU,216929,JAVALI,478,18,Udupi Chikkamagaluru,KARNATAKA,05531,5531,Mudigere,609920,609920,Megur,
3591,195,Belur,5849,BELUR,574,539,HASSAN,218300,GANGUR,469,19,Hassan,KARNATAKA,05554,5554,Belur,615310,615310,Gangur,
3549,98,Challakere,5809,CHALLAKERE,566,533,CHITRADURGA,217036,NANNIVALA,464,7,Chitradurga,KARNATAKA,05504,5504,Challakere,000000,927026,KURUBORAIHANAHATTY,
3504,89,Hagaribommanahalli,5785,KUDLIGI,565,528,BALLARI,216234,K.AYYANAHALLI,458,5,Ballari,KARNATAKA,05502,5502,Kudligi,000000,926658,RAMANAYAKANHALLI,
3514,49,Bidar South,5792,HUMNABAD,558,529,BIDAR,216454,MANEKHELI,459,1,Bidar,KARNATAKA,05458,5458,Homnabad,600335,600335,Manna-e-khelli,
3528,213,Heggadadevankote,5886,HEGGADADEVANKOTE,577,545,MYSURU,219463,NAGANAHALLI,461,15,Chamarajanagar,KARNATAKA,05573,5573,Heggadadevankote,618889,618889,Naganahalli,
3513,50,Bidar,5791,BIDAR,558,529,BIDAR,216434,YADLAPUR,459,1,Bidar,KARNATAKA,05457,5457,Bidar,600203,600203,Zamistanpur,
3638,57,Lingsugur,5894,LINGSUGUR,559,546,RAICHUR,219705,DEVARABHUPUR,475,3,Raichur,KARNATAKA,05459,5459,Lingsugur,600466,600466,Devar-Bhupur,
3612,144,Srinivaspur,5874,SRINIVASPUR,581,542,KOLAR,219063,PULAGURKOTA,471,10,Kolar,KARNATAKA,05590,5590,Srinivaspur,621512,621512,Gollapalli . S,
3659,133,Tumakuru Rural,5913,TUMAKURU,571,548,TUMAKURU,220351,AREGUJJANAHALLI,477,8,Tumakuru,KARNATAKA,05537,5537,Tumakuru,611381,611381,Janupanahalli,
3655,134,Koratagere,5913,TUMAKURU,571,548,TUMAKURU,220354,BELADARA,477,8,Tumakuru,KARNATAKA,05537,5537,Tumakuru,611368,611368,Jakkenahalli,
3606,143,Chintamani,5867,CHINTAMANI,582,630,CHIKKABALLAPURA,218860,KONAPALLI,471,10,Kolar,KARNATAKA,05600,5600,Chintamani,624572,624572,Mohamadpura,
3650,111,Shivamogga Rural,5902,SHIVAMOGGA,568,547,SHIVAMOGGA,220001,KUDLI,476,21,Shivamogga,KARNATAKA,05520,5520,Shivamogga,000000,925138,ABBARAGATTA,
3531,220,T.narasipur,5892,TIRUMAKUDAL-NARSIPUR,577,545,MYSURU,219642,CHIDARAVALLI,461,15,Chamarajanagar,KARNATAKA,05575,5575,Tirumakudal - Narsipur,619341,619341,Bommanahalli,
3586,39,Gurmitkal,5845,YADGIR,580,635,YADGIR,218186,MADWAR,468,2,Kalaburagi,KARNATAKA,05589,5589,Yadgir,621333,621333,Sambar,
3534,141,Chikkaballapur,5868,GAURIBIDANUR,582,630,CHIKKABALLAPURA,218911,PURA,462,9,Chikkballapur,KARNATAKA,05595,5595,Gauribidanur,623394,623394,Pura,
3619,92,Siruguppa,5787,SIRUGUPPA,565,528,BALLARI,216278,K.SUGUR,472,4,Koppal,KARNATAKA,05499,5499,Siruguppa,604837,604837,Hirehal,
3509,46,Aland,5837,ALAND,579,538,KALABURAGI,217910,MADIYAL,459,1,Bidar,KARNATAKA,05580,5580,Aland,620081,620081,Madiyal,
3528,213,Heggadadevankote,5886,HEGGADADEVANKOTE,577,545,MYSURU,219451,HIREHALLI,461,15,Chamarajanagar,KARNATAKA,05573,5573,Heggadadevankote,000000,927052,HIREHALLI(A),
3549,98,Challakere,5809,CHALLAKERE,566,533,CHITRADURGA,217017,CHENNAMANAGATHIHALLI,464,7,Chitradurga,KARNATAKA,05504,5504,Challakere,605389,605389,Matasamudra,
3605,147,Bangarapet,5865,BANGARAPET,581,542,KOLAR,218796,DONIMADAGU,471,10,Kolar,KARNATAKA,05593,5593,Bangarapet,622626,622626,Gundaralahalli,
3594,127,Kadur,5803,KADUR,570,532,CHIKKAMAGALURU,216838,BALLEKERE,469,19,Hassan,KARNATAKA,05529,5529,Kadur,609546,609546,Banjenahalli,
3612,144,Srinivaspur,5874,SRINIVASPUR,581,542,KOLAR,219060,MUTTAKAPALI,471,10,Kolar,KARNATAKA,05590,5590,Srinivaspur,621707,621707,Attikunte,
3565,109,Channagiri,5820,CHANNAGIRI,567,535,DAVANGERE,217408,CHIKKAGANGANUR,466,6,Davanagere,KARNATAKA,05514,5514,Channagiri,606999,606999,Chikgangoor,
3565,109,Channagiri,5820,CHANNAGIRI,567,535,DAVANGERE,217419,HIREMALALI,466,6,Davanagere,KARNATAKA,05514,5514,Channagiri,607028,607028,Byranahalli,
3591,195,Belur,5849,BELUR,574,539,HASSAN,218315,LAKKUNDA,469,19,Hassan,KARNATAKA,05554,5554,Belur,615410,615410,Bandahalli,
3537,139,Gauribidanur,5868,GAURIBIDANUR,582,630,CHIKKABALLAPURA,218915,THONDEBAVI,462,9,Chikkballapur,KARNATAKA,05595,5595,Gauribidanur,000000,925771,PINJARLAHALLY,
3591,195,Belur,5849,BELUR,574,539,HASSAN,218311,KESAGODU,469,19,Hassan,KARNATAKA,05554,5554,Belur,615428,615428,Vaderahalli,
3659,133,Tumakuru Rural,5913,TUMAKURU,571,548,TUMAKURU,220356,BELLAVI,477,8,Tumakuru,KARNATAKA,05537,5537,Tumakuru,611266,611266,Devarajanahalli,
3565,109,Channagiri,5820,CHANNAGIRI,567,535,DAVANGERE,217455,SIDDANAMATHA,466,6,Davanagere,KARNATAKA,05514,5514,Channagiri,606952,606952,Thopenahalli,
3528,213,Heggadadevankote,5886,HEGGADADEVANKOTE,577,545,MYSURU,219437,ANNUR,461,15,Chamarajanagar,KARNATAKA,05573,5573,Heggadadevankote,618855,618855,Yedathore,
3631,212,Hunsur,5887,HUNSUR,577,545,MYSURU,219493,SINGARAMARANAHALLI,474,16,Mysuru,KARNATAKA,05570,5570,Hunsur,618504,618504,Yalachanahalli,
3618,58,Sindhanur,5897,SINDHANUR,559,546,RAICHUR,219816,HOSALLI E.J.,472,4,Koppal,KARNATAKA,05463,5463,Sindhnur,601216,601216,Sasalmari,
3586,39,Gurmitkal,5845,YADGIR,580,635,YADGIR,218171,CHANDRAKI,468,2,Kalaburagi,KARNATAKA,05589,5589,Yadgir,621282,621282,Madepalli,
