S.No.,Organization Code,Organization Name,Organization Type,Parent Organization Code,Parent Organization Name,Parent Organization Type
1.0,2222,Central Silk Board,Department,504,Ministry of Textiles,Ministry
2.0,741,Comptroller And Auditor General Of India,Department,740,Comptroller And Auditor General Of India,Ministry
3.0,1587,Department For Promotion Of Industry And Internal Trade,Department,1565,Ministry Of Commerce And Industry,Ministry
4.0,543,Department of Adi Dravidar and Tribal Welfare,Department,490,Ministry of Tribal Affarirs,Ministry
5.0,1611,Department Of Administrative Reforms And Public Grievances (DARPG),Department,1578,"Ministry Of Personnel, Public Grievances And Pensions",Ministry
6.0,511,Department of Agriculture and Cooperation,Department,498,MINISTRY OF AGRICULTURE AND FARMERS WELFARE,Ministry
7.0,513,Department of Agriculture Research and Education,Department,498,MINISTRY OF AGRICULTURE AND FARMERS WELFARE,Ministry
8.0,512,"Department of Animal Husbandary, Diary and Fisheries",Department,498,MINISTRY OF AGRICULTURE AND FARMERS WELFARE,Ministry
9.0,1614,Department Of Biotechnology,Department,1579,Ministry Of Science And Technology,Ministry
10.0,1604,Department Of Border Management,Department,1574,Ministry Of Home Affairs,Ministry
11.0,1584,Department Of Chemicals And Petrochemicals,Department,1562,Ministry Of Chemicals And Fertilizers,Ministry
12.0,1588,Department Of Commerce,Department,1565,Ministry Of Commerce And Industry,Ministry
13.0,1589,Department Of Consumer Affairs,Department,1566,"Ministry Of Consumer Affairs, Food And Public Distribution",Ministry
14.0,1592,Department Of Defence,Department,1569,Ministry Of Defence,Ministry
15.0,1593,Department Of Defence Production,Department,1569,Ministry Of Defence,Ministry
16.0,1594,Department Of Defence Research And Development,Department,1569,Ministry Of Defence,Ministry
17.0,1560,Department of Drinking Water and Sanitation,Department,1559,Ministry of Jal Shakti,Ministry
18.0,506,Department of Drinking Water Supply,Department,487,Ministry of Rural Development,Ministry
19.0,1597,Department Of Economic Affairs,Department,499,Ministry of Finance,Ministry
20.0,1617,Department Of Empowerment Of Persons With Disabilities,Department,712,Ministry of Social Justice and Empowerment,Ministry
21.0,514,Department of Expenditure,Department,499,Ministry of Finance,Ministry
22.0,1595,Department Of Ex-Servicemen Welfare,Department,1569,Ministry Of Defence,Ministry
23.0,1484,Department of External Affairs,Department,626,Ministry of External Affairs,Ministry
24.0,1585,Department Of Fertilizers,Department,1562,Ministry Of Chemicals And Fertilizers,Ministry
25.0,1174,Department of Financial Service,Department,499,Ministry of Finance,Ministry
26.0,2245,Department of Fisheries,Department,1572,Ministry Of Fisheries,Ministry
27.0,1590,Department Of Food And Public Distribution,Department,1566,"Ministry Of Consumer Affairs, Food And Public Distribution",Ministry
28.0,2229,Department of Food & Public Distribution,Department,1566,"Ministry Of Consumer Affairs, Food And Public Distribution",Ministry
29.0,541,Department of Forest and Environment,Department,493,"Ministry of Environment,forests and climate change",Ministry
30.0,509,Department of Health and Family Welfare,Department,489,MINISTRY OF HEALTH & FAMILY WELFARE,Ministry
31.0,1601,Department Of Health Research,Department,489,MINISTRY OF HEALTH & FAMILY WELFARE,Ministry
32.0,1602,Department Of Heavy Industry,Department,1573,Ministry Of Heavy Industries And Public Enterprises,Ministry
33.0,1608,Department Of Higher Education,Department,488,Ministry of Human Resource Development,Ministry
34.0,1605,Department Of Home,Department,1574,Ministry Of Home Affairs,Ministry
35.0,508,Department of Human Resource and Development,Department,488,Ministry of Human Resource Development,Ministry
36.0,2236,Department of Internal Security,Department,1574,Ministry Of Home Affairs,Ministry
37.0,1598,Department Of Investment And Public Asset Management,Department,499,Ministry of Finance,Ministry
38.0,2237,"Department of Jammu, Kashmir and Ladakh Affairs",Department,1574,Ministry Of Home Affairs,Ministry
39.0,695,Department of Justice,Department,563,Ministry of Law and Justice,Ministry
40.0,507,Department of Land Resources,Department,487,Ministry of Rural Development,Ministry
41.0,564,Department of Legal Affairs,Department,563,Ministry of Law and Justice,Ministry
42.0,2235,Department of Military Affairs,Department,1569,Ministry Of Defence,Ministry
43.0,1147,Department of National Highways,Department,1146,Ministry of Road Transport & Highways,Ministry
44.0,538,Department of New and Renewable Energy,Department,502,MINISTRY OF NEW AND RENEWABLE ENERGY,Ministry
45.0,1606,Department Of Official Language,Department,1574,Ministry Of Home Affairs,Ministry
46.0,1612,Department Of Pension And Pensioners Welfare,Department,1578,"Ministry Of Personnel, Public Grievances And Pensions",Ministry
47.0,1613,Department Of Personnel and Training,Department,1578,"Ministry Of Personnel, Public Grievances And Pensions",Ministry
48.0,1586,Department Of Pharmaceuticals,Department,1562,Ministry Of Chemicals And Fertilizers,Ministry
49.0,1149,Department of Posts,Department,1065,Ministry of Communication,Ministry
50.0,539,Department of Power,Department,492,Ministry of Power,Ministry
51.0,537,Department of Programme Implementation,Department,500,Ministry of Statistics and Programme Implementation,Ministry
52.0,1603,Department Of Public Enterprises,Department,1573,Ministry Of Heavy Industries And Public Enterprises,Ministry
53.0,1599,Department Of Revenue,Department,499,Ministry of Finance,Ministry
54.0,505,Department of Rural Development,Department,487,Ministry of Rural Development,Ministry
55.0,1162,Department of School Education & Literacy,Department,488,Ministry of Human Resource Development,Ministry
56.0,1636,Department of Science and Technology,Department,1579,Ministry Of Science And Technology,Ministry
57.0,1615,Department of Scientific and Industrial Research,Department,1579,Ministry Of Science And Technology,Ministry
58.0,1238,Department of Socail Justice,Department,712,Ministry of Social Justice and Empowerment,Ministry
59.0,1618,Department Of Sports,Department,520,Ministry of Youth Affairs & Sports,Ministry
60.0,1607,Department Of States,Department,1574,Ministry Of Home Affairs,Ministry
61.0,536,Department of Statistics,Department,500,Ministry of Statistics and Programme Implementation,Ministry
62.0,1066,Department of Telecommunication,Department,1065,Ministry of Communication,Ministry
63.0,535,Department of Urban Development,Department,501,Ministry of Urban Development,Ministry
64.0,1609,"Department Of Water Resources, River Development And Ganga Rejuvenation",Department,1559,Ministry of Jal Shakti,Ministry
65.0,540,Department of Women and Child Development,Department,503,Ministry of Woman and Child Development,Ministry
66.0,1619,Department Of Youth Affairs,Department,520,Ministry of Youth Affairs & Sports,Ministry
67.0,1985,DEPT. OF ATOMIC ENERGY,Department,1984,PMO,Ministry
68.0,1986,DEPT. OF SPACE,Department,1984,PMO,Ministry
69.0,716,DIT,Department,494,Ministry of Communication and IT,Ministry
70.0,719,Employees Provident Fund Organisation,Department,496,Ministry of Labour,Ministry
71.0,1600,Income Tax Department,Department,499,Ministry of Finance,Ministry
72.0,1596,India Meteorological Department (IMD),Department,1571,Ministry Of Earth Sciences,Ministry
73.0,1164,Indian Railways,Department,1163,Ministry of Railways,Ministry
74.0,1610,Legislative Department,Department,563,Ministry of Law and Justice,Ministry
75.0,510,Ministry of Electronics & Information Technology,Department,494,Ministry of Communication and IT,Ministry
76.0,691,Ministry of Labour and Employment,Department,496,Ministry of Labour,Ministry
77.0,717,National Commission for Scheduled Tribes,Department,712,Ministry of Social Justice and Empowerment,Ministry
78.0,1239,National Land Records Modernization Programme,Department,487,Ministry of Rural Development,Ministry
79.0,1161,National Skill Development Corporation India,Department,1160,Ministry of Skill Development And Entrepreneurship,Ministry
80.0,2200,Office of the Development Commissioner(Textiles),Department,504,Ministry of Textiles,Ministry
81.0,542,Panchayati Raj Department,Department,486,Ministry of Panchayati Raj,Ministry
82.0,2144,Railway Board,Department,1163,Ministry of Railways,Ministry
83.0,2377,State Water and Sanitation Mission Shimla,Department,1559,Ministry of Jal Shakti,Ministry
84.0,2477,Test,Department,498,MINISTRY OF AGRICULTURE AND FARMERS WELFARE,Ministry
85.0,2,Test Department,Department,,,Ministry
86.0,2390,Action for Community Empowerment Society Samiti Ranchi Jharkhand (NGO),Organization,1560,Department of Drinking Water and Sanitation,Department
87.0,2391,Adarash Saraswati mahila shiksha evam Gramin Vikas Samiti  Jaipur Rajasthan (NGO),Organization,1560,Department of Drinking Water and Sanitation,Department
88.0,2392,Aga Khan Rural Support Programme  Ahmedabad Gujarat,Organization,1560,Department of Drinking Water and Sanitation,Department
89.0,1669,AGRINNOVATE INDIA LTD.,Organization,513,Department of Agriculture Research and Education,Department
90.0,2019,Ali Yavar Jung National Institute Of Speech And Hearing Disabilities (AYJNISHD)-Mumbai,Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
91.0,1175,Allahabad Bank,Organization,1174,Department of Financial Service,Department
92.0,2050,"All India Jain Youth Federation, Karnataka",Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
93.0,2026,"Amarjyoti Charitable Trust, N. Delhi",Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
94.0,2045,"Andhjan Kalyan Trust, Gujarat",Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
95.0,1176,Andhra Bank,Organization,1174,Department of Financial Service,Department
96.0,1762,ANDREW YULE & COMPANY LTD.,Organization,1602,Department Of Heavy Industry,Department
97.0,1995,ANTRIX CORPORATION LTD.,Organization,1986,DEPT. OF SPACE,Department
98.0,1987,ANUSHAKTI VIDHYUT NIGAM LTD.,Organization,1985,DEPT. OF ATOMIC ENERGY,Department
99.0,2032,"Apang Jeevan Vikas Sanstha, Amravati",Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
100.0,1941,ARTIFICIAL LIMBS MFG. CORPN. OF INDIA,Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
101.0,2051,"Asha Gram Trust, Barwani",Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
102.0,2046,"Ashirwad  Trust for Disabled, Gujarat",Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
103.0,2393,Ashwamegh Gramin Panlot Kshetra Vikas Va Shaikshanik Sanstha Amravati Maharashtra (NGO),Organization,1560,Department of Drinking Water and Sanitation,Department
104.0,2033,"Ayodhaya Chariatable Trust, Pune",Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
105.0,1177,Bank of Baroda,Organization,1174,Department of Financial Service,Department
106.0,1178,Bank of India,Organization,1174,Department of Financial Service,Department
107.0,1179,Bank of Maharashtra,Organization,1174,Department of Financial Service,Department
108.0,1741,BEL OPTRONICS DEVICES LTD.,Organization,1593,Department Of Defence Production,Department
109.0,1742,BEL-THALES SYSTEMS LTD.,Organization,1593,Department Of Defence Production,Department
110.0,1743,BEML LTD.,Organization,1593,Department Of Defence Production,Department
111.0,1684,BENGAL CHEMICALS & PHARMACEUTICALS LTD.,Organization,1586,Department Of Pharmaceuticals,Department
112.0,2071,"Bhagwan Mahaveer Viklang Sahayata Samiti, Jaipur",Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
113.0,2085,"Bharabi Club, Orrissa",Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
114.0,1730,BHARAT BROADBAND NETWORK LTD.,Organization,1066,Department of Telecommunication,Department
115.0,1744,BHARAT DYNAMICS LTD.,Organization,1593,Department Of Defence Production,Department
