S.No.;Org Code;Org Name;Type Code;Type Name;State Code;State Name ;Parent Org Code;Parent Org Name
1;178;AGRICULTURE AND HORTICULTURE;2;Department;29;KARNATAKA;;
2;1299;Agriculture Department;2;Department;29;KARNATAKA;;
3;1301;AH&F;2;Department;29;KARNATAKA;;
4;1489;Akkamahadevi University;4;Attached Office;29;KARNATAKA;1172;Department of Higher Education
5;353;ANIMAL HUSBANDARY AND VETERNARY SCIENCES;2;Department;29;KARNATAKA;;
6;358;ART AND CULTURE LIBRARY;2;Department;29;KARNATAKA;;
7;351;BACKWARD CLASSES AND MINORITIES;2;Department;29;KARNATAKA;;
8;1317;Backward Classes Department;2;Department;29;KARNATAKA;;
9;1500;Bangalore Central University;4;Attached Office;29;KARNATAKA;1172;Department of Higher Education
10;1062;Bangalore Development Authority;2;Department;29;KARNATAKA;;
11;1494;Bangalore North University;4;Attached Office;29;KARNATAKA;1172;Department of Higher Education
12;1501;Bangalore University;4;Attached Office;29;KARNATAKA;1172;Department of Higher Education
13;1521;Bangalore Water Supply and Sewerage Board;2;Department;29;KARNATAKA;;
14;1403;BESCOM;4;Attached Office;29;KARNATAKA;1104;Energy Department
15;1404;CESCOM;4;Attached Office;29;KARNATAKA;1104;Energy Department
16;1328;Chief Minister Relief Fund (CMRF);2;Department;29;KARNATAKA;;
17;1302;C&I;2;Department;29;KARNATAKA;;
18;1410;Commerce and Industries;2;Department;29;KARNATAKA;;
19;1105;Commerical & Industries;2;Department;29;KARNATAKA;;
20;1303;Cooperation Department;2;Department;29;KARNATAKA;;
21;355;CO-OPERATION DEPARTMENT;2;Department;29;KARNATAKA;;
22;1496;Davangere University;4;Attached Office;29;KARNATAKA;1172;Department of Higher Education
23;804;Department for Empowerment of Differently Abled and Senior Citizen;3;Autonomous Body;29;KARNATAKA;352;WOMEN AND CHILD DEVELOPMENT
24;1277;Department of Animal Husbandry and Veterinary Services;2;Department;29;KARNATAKA;;
25;1024;Department of Ayurveda, Yoga, Naturopathy, Unani, Siddha and Homeopathy;2;Department;29;KARNATAKA;;
26;1209;Department of Collegiate Education;4;Attached Office;29;KARNATAKA;1172;Department of Higher Education
27;1280;Department of Electrical Inspectorate;2;Department;29;KARNATAKA;;
28;1297;Department of Factories Boilers Industrial Safety & Health;2;Department;29;KARNATAKA;;
29;1103;Department of Food, Civil Supplies & Consumer Affairs;2;Department;29;KARNATAKA;;
30;1172;Department of Higher Education;2;Department;29;KARNATAKA;;
31;1281;Department of Horticulture;2;Department;29;KARNATAKA;;
32;1550;Department of Industrial Training and Employment;2;Department;29;KARNATAKA;;
33;1000;Department of Information and Public Relations;2;Department;29;KARNATAKA;;
34;1247;Department of Information Technology;2;Department;29;KARNATAKA;;
35;947;Department of Kannada & Culture;2;Department;29;KARNATAKA;;
36;1061;Department of Labour;2;Department;29;KARNATAKA;;
37;1528;Department of Legal Metrology;4;Attached Office;29;KARNATAKA;1103;Department of Food, Civil Supplies & Consumer Affairs
38;1106;Department of Medical Education;2;Department;29;KARNATAKA;;
39;1230;Department of Mines and Geology;2;Department;29;KARNATAKA;;
40;989;Department of Personnel & Administrative Reforms;2;Department;29;KARNATAKA;;
41;1272;Department of Public Instruction;2;Department;29;KARNATAKA;;
42;806;Department of Public Libraries;2;Department;29;KARNATAKA;;
43;1296;Department of Public Library;2;Department;29;KARNATAKA;;
44;1107;Department of Water Resources;2;Department;29;KARNATAKA;;
45;1023;Department of Youth Empowerment and Sports;2;Department;29;KARNATAKA;;
46;356;DEPARTMENT OF YOUTH SERVICES AND SPORTS;2;Department;29;KARNATAKA;;
47;1392;Directorate of Social Security and Pensions;4;Attached Office;29;KARNATAKA;886;Revenue Department
48;1173;Directorate of Technical Education;4;Attached Office;29;KARNATAKA;1172;Department of Higher Education
49;1304;DPAR;2;Department;29;KARNATAKA;;
50;1330;Drugs Control Department;2;Department;29;KARNATAKA;;
51;90;Education;2;Department;29;KARNATAKA;;
52;887;Election Commission;2;Department;29;KARNATAKA;;
53;1104;Energy Department;2;Department;29;KARNATAKA;;
54;1307;Finance Department (Budget);2;Department;29;KARNATAKA;;
55;1308;Finance Department (Exp.);2;Department;29;KARNATAKA;;
56;354;FISHERIES DEPARTMENT;2;Department;29;KARNATAKA;;
