S.No.,Organization Code,Organization Name,Organization Type,Parent Organization Code,Parent Organization Name,Parent Organization Type,State Code,State Name
1.0,2215,Agriculture Department,Department,,,,35,ANDAMAN AND NICOBAR ISLANDS
2.0,2216,Department of Animal Husbandry and Veterinary Services,Department,,,,35,ANDAMAN AND NICOBAR ISLANDS
3.0,2337,Department of Environment and Forests,Department,,,,35,ANDAMAN AND NICOBAR ISLANDS
4.0,2188,Department of Finance,Department,,,,35,ANDAMAN AND NICOBAR ISLANDS
5.0,2212,"Department of Labour, Employment and Training",Department,,,,35,ANDAMAN AND NICOBAR ISLANDS
6.0,485,Department of Panchayati Raj and RD,Department,,,,35,ANDAMAN AND NICOBAR ISLANDS
7.0,1031,Department of Social Welfare,Department,,,,35,ANDAMAN AND NICOBAR ISLANDS
8.0,2181,Directorate of Education,Department,,,,35,ANDAMAN AND NICOBAR ISLANDS
9.0,2183,Directorate of Fisheries,Department,,,,35,ANDAMAN AND NICOBAR ISLANDS
10.0,2218,Directorate of Health Services,Department,,,,35,ANDAMAN AND NICOBAR ISLANDS
11.0,2217,Directorate of Industries,Department,,,,35,ANDAMAN AND NICOBAR ISLANDS
12.0,929,Election Commission,Department,,,,35,ANDAMAN AND NICOBAR ISLANDS
13.0,928,Revenue Department,Department,,,,35,ANDAMAN AND NICOBAR ISLANDS
14.0,37,Test Department,Department,,,,35,ANDAMAN AND NICOBAR ISLANDS
15.0,927,Urban Development Department,Department,,,,35,ANDAMAN AND NICOBAR ISLANDS
16.0,2533,Canara Bank,Organization,2218,Directorate of Health Services,Department,35,ANDAMAN AND NICOBAR ISLANDS
17.0,160,SIRD,Organization,485,Department of Panchayati Raj and RD,Department,35,ANDAMAN AND NICOBAR ISLANDS
18.0,2219,State Health Agency,Organization,2218,Directorate of Health Services,Department,35,ANDAMAN AND NICOBAR ISLANDS
1.0,331,Agriculture,Department,,,,28,ANDHRA PRADESH
2.0,1556,"AYUSH - Department Health, Medical & Family Welfare",Department,,,,28,ANDHRA PRADESH
3.0,1275,Consumer Affairs Food Civil Supplies,Department,,,,28,ANDHRA PRADESH
4.0,1096,"Department Health, Medical & Family Welfare",Department,,,,28,ANDHRA PRADESH
5.0,1094,Department of Animal Husbandry,Department,,,,28,ANDHRA PRADESH
6.0,1093,Department of Energy,Department,,,,28,ANDHRA PRADESH
7.0,1092,Department of Higher Education,Department,,,,28,ANDHRA PRADESH
8.0,1097,Department of Horticulture,Department,,,,28,ANDHRA PRADESH
9.0,1102,Department of Industries & Commerce,Department,,,,28,ANDHRA PRADESH
10.0,1091,Department of School Education,Department,,,,28,ANDHRA PRADESH
11.0,1033,"Dept of Social Welfare, WCD",Department,,,,28,ANDHRA PRADESH
12.0,1032,"Dept of Women Development, Child Welfare and Disabled Welfare",Department,,,,28,ANDHRA PRADESH
13.0,933,Election Commission,Department,,,,28,ANDHRA PRADESH
14.0,1625,ELECTRONIC SERVICE DELIVERY - ITE&C,Department,,,,28,ANDHRA PRADESH
15.0,1465,Energy - Electrical Safety,Department,,,,28,ANDHRA PRADESH
16.0,1274,"Energy, Infrastructure and Investment",Department,,,,28,ANDHRA PRADESH
17.0,334,Engineering Department,Department,,,,28,ANDHRA PRADESH
18.0,333,Finance and Planning,Department,,,,28,ANDHRA PRADESH
19.0,1095,Forest Department,Department,,,,28,ANDHRA PRADESH
20.0,1466,Home - DGP,Department,,,,28,ANDHRA PRADESH
21.0,1471,Home - Fire Services,Department,,,,28,ANDHRA PRADESH
22.0,1624,"Information Technology, Electronics and Communications",Department,,,,28,ANDHRA PRADESH
23.0,1639,Labour,Department,,,,28,ANDHRA PRADESH
24.0,1637,Labour Department,Department,,,,28,ANDHRA PRADESH
25.0,1470,Municipal Administration,Department,,,,28,ANDHRA PRADESH
26.0,72,Panchayat Raj Rural Employment,Department,,,,28,ANDHRA PRADESH
27.0,332,Planning Department,Department,,,,28,ANDHRA PRADESH
28.0,931,Revenue Department,Department,,,,28,ANDHRA PRADESH
29.0,1468,Roads and Buildings,Department,,,,28,ANDHRA PRADESH
30.0,733,State Audit Department,Department,,,,28,ANDHRA PRADESH
31.0,1098,Town & Country Planning Department,Department,,,,28,ANDHRA PRADESH
32.0,1101,Tribal Welfare Department,Department,,,,28,ANDHRA PRADESH
33.0,932,Urban Development Department,Department,,,,28,ANDHRA PRADESH
34.0,1099,Water Resource Department,Department,,,,28,ANDHRA PRADESH
35.0,133,APSIRD,Organization,72,Panchayat Raj Rural Employment,Department,28,ANDHRA PRADESH
36.0,1554,Dr. N.T.R. University of Health Sciences,Organization,1096,"Department Health, Medical & Family Welfare",Department,28,ANDHRA PRADESH
37.0,1531,DR. YSR Horticultural University,Organization,1097,Department of Horticulture,Department,28,ANDHRA PRADESH
1.0,2496,Administrative Reforms,Department,,,,12,ARUNACHAL PRADESH
2.0,2190,Cooperative Societies,Department,,,,12,ARUNACHAL PRADESH
3.0,1979,Department of Education,Department,,,,12,ARUNACHAL PRADESH
4.0,1647,Department of Environment and Forest,Department,,,,12,ARUNACHAL PRADESH
5.0,1645,"Department of Finance, Planning and Investment",Department,,,,12,ARUNACHAL PRADESH
6.0,2214,Department of Fire & Emergency Services,Department,,,,12,ARUNACHAL PRADESH
7.0,2164,Department of Food and Civil Supply,Department,,,,12,ARUNACHAL PRADESH
8.0,1635,Department of Home,Department,,,,12,ARUNACHAL PRADESH
9.0,2142,Department of Industries,Department,,,,12,ARUNACHAL PRADESH
10.0,1665,Department of Labour and Employment,Department,,,,12,ARUNACHAL PRADESH
11.0,2205,Department of Land Management,Department,,,,12,ARUNACHAL PRADESH
12.0,2204,Department of Legal Metrology and Consumer Affairs,Department,,,,12,ARUNACHAL PRADESH
13.0,468,Department of Panchayati Raj and RD,Department,,,,12,ARUNACHAL PRADESH
14.0,2320,Department of Town Planning & ULB,Department,,,,12,ARUNACHAL PRADESH
15.0,2195,Department of Trade & Commerce,Department,,,,12,ARUNACHAL PRADESH
16.0,1034,Dept of Women and Child Development & Social Justice,Department,,,,12,ARUNACHAL PRADESH
17.0,2158,Director of Audit and Pension,Department,,,,12,ARUNACHAL PRADESH
18.0,597,DISTRICT ADMINISTRATION,Department,,,,12,ARUNACHAL PRADESH
19.0,809,Election Commission,Department,,,,12,ARUNACHAL PRADESH
20.0,2198,Health & Family Welfare,Department,,,,12,ARUNACHAL PRADESH
21.0,2162,Office of the Directorate of Audit & Pension,Department,,,,12,ARUNACHAL PRADESH
22.0,2194,Public Health Engineering and Water Resource Department,Department,,,,12,ARUNACHAL PRADESH
23.0,2159,Public Works Department,Department,,,,12,ARUNACHAL PRADESH
24.0,807,Revenue Department,Department,,,,12,ARUNACHAL PRADESH
25.0,14,Test Department,Department,,,,12,ARUNACHAL PRADESH
26.0,1634,Test Deptt,Department,,,,12,ARUNACHAL PRADESH
27.0,145,SIRD,Organization,468,Department of Panchayati Raj and RD,Department,12,ARUNACHAL PRADESH
28.0,1648,Test Board,Organization,1647,Department of Environment and Forest,Department,12,ARUNACHAL PRADESH
29.0,1646,Test Division,Organization,1645,"Department of Finance, Planning and Investment",Department,12,ARUNACHAL PRADESH
30.0,1649,Test Organization,Organization,,,Department,12,ARUNACHAL PRADESH
1.0,1413,"Accountant General, Assam",Department,,,,18,ASSAM
2.0,1393,Administrative Reforms and Training,Department,,,,18,ASSAM
3.0,718,Agriculture Department,Department,,,,18,ASSAM
4.0,2252,Animal Husbandry and Veterinary Department,Department,,,,18,ASSAM
5.0,709,Chief Inspectorate of Factories,Department,,,,18,ASSAM
6.0,739,Commissionerate of Labour,Department,,,,18,ASSAM
7.0,1415,CO-OPERATION DEPARTMENT,Department,,,,18,ASSAM
8.0,1417,Department of Agriculture and Horticulture,Department,,,,18,ASSAM
9.0,1661,Department of Excise,Department,,,,18,ASSAM
10.0,1418,"DEPARTMENT OF FOOD, CIVIL SUPPLIES & CONSUMER AFFAIRS",Department,,,,18,ASSAM
11.0,1421,Department of Health and Family Welfare,Department,,,,18,ASSAM
12.0,1329,Department of Industries & Commerce,Department,,,,18,ASSAM
13.0,1626,Department of Judicial,Department,,,,18,ASSAM
14.0,1282,Department of Labour and Welfare,Department,,,,18,ASSAM
15.0,1520,Department of Mines and Minerals,Department,,,,18,ASSAM
16.0,473,Department of Panchayati Raj and RD,Department,,,,18,ASSAM
17.0,1256,Department of Power,Department,,,,18,ASSAM
18.0,2189,Department of Secondary Education,Department,,,,18,ASSAM
19.0,2193,"Department of Skill, Employment and Entrepreneurship",Department,,,,18,ASSAM
20.0,1396,Department of Tourism,Department,,,,18,ASSAM
21.0,1522,Department of Transport,Department,,,,18,ASSAM
22.0,1552,DEPARTMENT OF WELFARE OF PLAIN TRIBES AND BACKWARD CLASSES,Department,,,,18,ASSAM
23.0,1035,"Dept of Social Welfare, WCD",Department,,,,18,ASSAM
24.0,2197,Directorate Of Social Welfare (Social Justice and Empowerment Sector),Department,,,,18,ASSAM
25.0,2128,Director of Audit (Local Fund),Department,,,,18,ASSAM
26.0,811,Election Commission,Department,,,,18,ASSAM
27.0,1524,Elementary Education Department,Department,,,,18,ASSAM
28.0,1051,Environment and Forest,Department,,,,18,ASSAM
29.0,1412,Finance Department,Department,,,,18,ASSAM
30.0,1469,General Administration Department,Department,,,,18,ASSAM
31.0,1477,Guwahati Development Department,Department,,,,18,ASSAM
32.0,1527,Higher Education Department,Department,,,,18,ASSAM
33.0,991,Home & Political,Department,,,,18,ASSAM
34.0,696,IT Department,Department,,,,18,ASSAM
35.0,2100,Karbi Anglong (AC),Department,,,,18,ASSAM
36.0,1621,North Cachar Hills Autonomous Council,Department,,,,18,ASSAM
37.0,687,Office of the Chief Minister,Department,,,,18,ASSAM
38.0,2349,Public Health Engineering Department,Department,,,,18,ASSAM
39.0,1651,Public Works Department,Department,,,,18,ASSAM
40.0,689,Revenue Department,Department,,,,18,ASSAM
41.0,1234,Revenue & Disaster Management Department,Department,,,,18,ASSAM
42.0,1526,Secondary Education Department,Department,,,,18,ASSAM
43.0,1397,Sports and Youth Welfare,Department,,,,18,ASSAM
44.0,20,Test Department,Department,,,,18,ASSAM
45.0,810,Urban Development Department,Department,,,,18,ASSAM
46.0,1486,Urban Development Department - Assam,Department,,,,18,ASSAM
47.0,1414,"AG OFFICE, ASSAM",Organization,1413,"Accountant General, Assam",Department,18,ASSAM
48.0,1026,"Commissionerate , Panchayati Raj and Rural Development",Organization,473,Department of Panchayati Raj and RD,Department,18,ASSAM
49.0,1028,Directorate of Municipal Administration,Organization,810,Urban Development Department,Department,18,ASSAM
50.0,1273,Director of Land Records,Organization,1234,Revenue & Disaster Management Department,Department,18,ASSAM
51.0,1235,Inspector General of Registration,Organization,1234,Revenue & Disaster Management Department,Department,18,ASSAM
52.0,1253,Pollution Control Board Assam,Organization,1051,Environment and Forest,Department,18,ASSAM
53.0,130,SIRD,Organization,473,Department of Panchayati Raj and RD,Department,18,ASSAM
54.0,1398,Sports Authority of Assam,Organization,1397,Sports and Youth Welfare,Department,18,ASSAM
1.0,1490,"Department of Industries, Government of Bihar",Department,,,,10,BIHAR
2.0,467,Department of Panchayati Raj and RD,Department,,,,10,BIHAR
3.0,685,Department of Social Welfare,Department,,,,10,BIHAR
4.0,2161,Directorate of Local Fund Audit,Department,,,,10,BIHAR
5.0,813,Election Commission,Department,,,,10,BIHAR
6.0,2232,"Environment, Forest & Climate Change Department",Department,,,,10,BIHAR
7.0,1252,Food & Consumer Protection,Department,,,,10,BIHAR
8.0,624,General Administration Department,Department,,,,10,BIHAR
9.0,796,Health Department,Department,,,,10,BIHAR
10.0,1246,Home Department,Department,,,,10,BIHAR
11.0,690,Labour Resource Department,Department,,,,10,BIHAR
12.0,326,Panchayati Raj Department,Department,,,,10,BIHAR
13.0,734,Revenue and Land Reforms Department,Department,,,,10,BIHAR
14.0,1245,Rural Development Department,Department,,,,10,BIHAR
15.0,52,State Line Delpt Test 1,Department,,,,10,BIHAR
16.0,12,Test Department,Department,,,,10,BIHAR
17.0,2285,Tourism Department,Department,,,,10,BIHAR
18.0,812,Urban Development Department,Department,,,,10,BIHAR
19.0,1069,Integrated Child Development Services,Organization,685,Department of Social Welfare,Department,10,BIHAR
20.0,705,State Institute of Rural Development,Organization,467,Department of Panchayati Raj and RD,Department,10,BIHAR
1.0,2547,Agriculture,Department,,,,4,CHANDIGARH
2.0,800,Animal Husbandry Department,Department,,,,4,CHANDIGARH
3.0,803,Architect College,Department,,,,4,CHANDIGARH
4.0,838,Arts College,Department,,,,4,CHANDIGARH
5.0,854,AYUSH,Department,,,,4,CHANDIGARH
6.0,874,CCET (Degree Wing),Department,,,,4,CHANDIGARH
7.0,840,Central Treasury,Department,,,,4,CHANDIGARH
8.0,958,Chandigarh Administration,Department,,,,4,CHANDIGARH
9.0,2328,Chandigarh Housing Board,Department,,,,4,CHANDIGARH
10.0,872,Chandigarh Transport Undertaking,Department,,,,4,CHANDIGARH
11.0,875,Chief Architect,Department,,,,4,CHANDIGARH
12.0,841,Co-Operative Societies,Department,,,,4,CHANDIGARH
13.0,868,CREST,Department,,,,4,CHANDIGARH
14.0,1054,Department of Information Technology,Department,,,,4,CHANDIGARH
15.0,463,Department of Panchayati Raj and RD,Department,,,,4,CHANDIGARH
16.0,869,"Department of Social Welfare, Women and Child Development, Chandigarh Administration",Department,,,,4,CHANDIGARH
17.0,839,Deputy Commissioner office,Department,,,,4,CHANDIGARH
18.0,924,Directorate of Higher Education,Department,,,,4,CHANDIGARH
19.0,801,Directorate of School Education,Department,,,,4,CHANDIGARH
20.0,855,Directorate of Technical Education,Department,,,,4,CHANDIGARH
21.0,876,District Court,Department,,,,4,CHANDIGARH
22.0,852,District Family Welfare,Department,,,,4,CHANDIGARH
23.0,816,Election Commission,Department,,,,4,CHANDIGARH
24.0,925,Engineering Department,Department,,,,4,CHANDIGARH
25.0,843,Environment,Department,,,,4,CHANDIGARH
26.0,844,Estate Office,Department,,,,4,CHANDIGARH
27.0,845,Excise & Taxation,Department,,,,4,CHANDIGARH
28.0,849,Food & Supplies & Consumer Affairs,Department,,,,4,CHANDIGARH
29.0,848,Forests & Wildlife,Department,,,,4,CHANDIGARH
30.0,860,Government Medical College & Hospital,Department,,,,4,CHANDIGARH
31.0,851,Health Department (GMSH),Department,,,,4,CHANDIGARH
32.0,877,High Court,Department,,,,4,CHANDIGARH
33.0,878,Home Guards,Department,,,,4,CHANDIGARH
34.0,856,Industries Department,Department,,,,4,CHANDIGARH
