S.No,State Name,Localbody Code,Localbody Name,Census 2011 Code,District Code,District Name,Subdistrict Code,Subdistrict Name,Village Code,Village Name
1,RAJASTHAN,248843,Bari Sadri,800608,95,CHITTORGARH,664,Bari Sadri,926256,NAARJI KA KHEDA
2,RAJASTHAN,248843,Bari Sadri,800608,95,CHITTORGARH,664,Bari Sadri,926255,BADI SADRI
3,RAJASTHAN,248843,Bari Sadri,800608,95,CHITTORGARH,,,,
4,RAJASTHAN,248843,Bari Sadri,800608,95,CHITTORGARH,664,Bari Sadri,,
5,UTTAR PRADESH,249104,Jyoti Khuria,800822,166,MAINPURI,,,,
6,UTTAR PRADESH,249104,Jyoti Khuria,800822,166,MAINPURI,775,Mainpuri,,
7,ANDHRA PRADESH,251760,Bapatla,802984,506,GUNTUR,,,,
8,ANDHRA PRADESH,251760,Bapatla,802984,506,GUNTUR,5093,Bapatla,,
9,UTTAR PRADESH,249127,Kunwargaon,800845,133,BUDAUN,,,,
10,UTTAR PRADESH,249127,Kunwargaon,800845,133,BUDAUN,782,Budaun,,
11,UTTAR PRADESH,248889,Banat,800646,660,SHAMLI,,,,
12,UTTAR PRADESH,248889,Banat,800646,660,SHAMLI,707,Shamli,,
13,ODISHA,250478,Rairangpur,801825,365,MAYURBHANJ,,,,
14,ODISHA,250478,Rairangpur,801825,365,MAYURBHANJ,2861,Rairangpur Town,,
15,ODISHA,250501,Cuttack,801844,350,CUTTACK,,,,
16,ODISHA,250501,Cuttack,801844,350,CUTTACK,2968,Cuttack (M.Corp.) P.S,,
17,CHHATTISGARH,250624,Pandariya,801985,382,KABIRDHAM,,,,
18,CHHATTISGARH,250624,Pandariya,801985,382,KABIRDHAM,3301,Pandariya,931427,Nawapara
19,CHHATTISGARH,250624,Pandariya,801985,382,KABIRDHAM,3301,Pandariya,931428,Pandariya
20,CHHATTISGARH,250624,Pandariya,801985,382,KABIRDHAM,3301,Pandariya,,
21,CHHATTISGARH,253249,Narharpur,802057,381,KANKER,,,,
22,CHHATTISGARH,253249,Narharpur,802057,381,KANKER,3352,Narharpur,,
23,UTTAR PRADESH,249181,Barbar,800899,159,KHERI,,,,
24,UTTAR PRADESH,249181,Barbar,800899,159,KHERI,800,Mohammdi,,
25,MADHYA PRADESH,250793,Mangawan,802184,424,REWA,3474,Mangawan,930646,Rani Purva
26,MADHYA PRADESH,250793,Mangawan,802184,424,REWA,3474,Mangawan,930645,Nagma 265
27,MADHYA PRADESH,250793,Mangawan,802184,424,REWA,3474,Mangawan,930647,Khamhari 99
28,MADHYA PRADESH,250793,Mangawan,802184,424,REWA,3474,Mangawan,930644,Karari 45
29,MADHYA PRADESH,250793,Mangawan,802184,424,REWA,3474,Mangawan,930637,Deeha 212
30,MADHYA PRADESH,250793,Mangawan,802184,424,REWA,3474,Mangawan,930358,Atari
31,MADHYA PRADESH,250793,Mangawan,802184,424,REWA,3474,Mangawan,930643,Amirti 14
32,MADHYA PRADESH,250793,Mangawan,802184,424,REWA,,,,
33,MADHYA PRADESH,250793,Mangawan,802184,424,REWA,3474,Mangawan,,
34,MAHARASHTRA,251445,Igatpuri,802779,487,NASHIK,,,,
35,MAHARASHTRA,251445,Igatpuri,802779,487,NASHIK,4153,Igatpuri,,
36,UTTAR PRADESH,249135,Bahedi,800853,130,BAREILLY,,,,
37,UTTAR PRADESH,249135,Bahedi,800853,130,BAREILLY,784,Baheri,,
38,RAJASTHAN,248743,Khandela,800529,114,SIKAR,,,,
39,RAJASTHAN,248743,Khandela,800529,114,SIKAR,555,Sri Madhopur,,
40,UTTAR PRADESH,248989,Dasna,800735,145,GHAZIABAD,,,,
41,UTTAR PRADESH,248989,Dasna,800735,145,GHAZIABAD,739,Ghaziabad,,
42,UTTAR PRADESH,249419,Gonda,801134,147,GONDA,,,,
43,UTTAR PRADESH,249419,Gonda,801134,147,GONDA,928,Gonda,,
44,MADHYA PRADESH,250747,Bijawar,802145,398,CHHATARPUR,,,,
45,MADHYA PRADESH,250747,Bijawar,802145,398,CHHATARPUR,3433,Bijawar,,
46,GOA,252075,Bicholim,803244,551,NORTH GOA,,,,
47,GOA,252075,Bicholim,803244,551,NORTH GOA,5612,Bicholim,924826,Virdi
48,GOA,252075,Bicholim,803244,551,NORTH GOA,5612,Bicholim,924818,Lamgao
49,GOA,252075,Bicholim,803244,551,NORTH GOA,5612,Bicholim,924814,Bordem
50,GOA,252075,Bicholim,803244,551,NORTH GOA,5612,Bicholim,,
51,UTTAR PRADESH,249273,Auraiya,800992,122,AURAIYA,,,,
52,UTTAR PRADESH,249273,Auraiya,800992,122,AURAIYA,842,Auraiya,,
53,CHHATTISGARH,250601,Baloda,801952,379,JANJGIR-CHAMPA,,,,
54,CHHATTISGARH,250601,Baloda,801952,379,JANJGIR-CHAMPA,3279,Baloda,,
55,HIMACHAL PRADESH,248045,Paonta Sahib,800132,24,SIRMAUR,173,Paonta Sahib,937526,Up Sampada Shamsherpur (117 .)
56,HIMACHAL PRADESH,248045,Paonta Sahib,800132,24,SIRMAUR,173,Paonta Sahib,937524,Up Sampada Paonta Sahib Pratham (116)
57,HIMACHAL PRADESH,248045,Paonta Sahib,800132,24,SIRMAUR,173,Paonta Sahib,937525,Up Sampada Paonta Sahib Dutiya (116.)
