S.No.,Assembly Constituency Code,Assembly Constituency ECI Code,Assembly Constituency Name,Block Code,Block Name,District Census 2011 Code,District Code,District Name,Localbody Code,Localbody Name,Parliament Constituency code,Parliament Constituency ECI Code,Parliament Constituency Name,State Name,Subdistrict Census 2011 Code,Subdistrict Code,Subdistrict Name,Village Census 2011 Code,Village Code,Village Name
1,3995,183,Aranthangi,6265,ARANTANGI,621,582,PUDUKKOTTAI,226670,Egaperumalur,526,34,Ramanathapuram,TAMIL NADU,05826,5826,Aranthangi,639771,639771,Rayanvayal
2,3925,80,Kallakurichi,6467,THIAGADURGAM,000,729,KALLAKURICHI,233621,SATHANUR,514,,Kallakurichi,TAMIL NADU,05734,5734,Kallakkurichi,633501,633501,Chitteri
3,4011,181,Thirumayam,6266,ARIMALAM,621,582,PUDUKKOTTAI,226727,Munasanthai,528,33,Sivaganga,TAMIL NADU,05822,5822,Thirumayam,639464,639464,Perungudi
4,4009,187,Manamadurai,6313,MANAMADURAI,622,585,SIVAGANGA,228128,ARASAKULAM,528,33,Sivaganga,TAMIL NADU,05833,5833,Manamadurai,640410,640410,Senthattiendal
5,3972,95,Paramathi-velur,6244,MOHANUR,609,580,NAMAKKAL,226102,PERAMANDAPALAYAM,522,,Namakkal,TAMIL NADU,00000,6635,MOHANUR,634749,634749,Perumandampalayam
6,4067,62,Chengam,6405,CHENGAM,606,593,TIRUVANNAMALAI,231013,Elangunni,538,,Tiruvannamalai,TAMIL NADU,05725,5725,Chengam,631977,631977,Ravandavadi RF
7,3867,66,Polur,6406,CHETPUT,606,593,TIRUVANNAMALAI,231086,Severappoondi,504,,Arani,TAMIL NADU,00000,6617,Chetpet,631826,631826,Severapoondi
8,4010,186,Sivaganga,6310,KALAIYARKOIL,622,585,SIVAGANGA,228063,USILANGULAM,528,33,Sivaganga,TAMIL NADU,00000,6644,Kalaiyarkoil,640327,640327,Siriyur
9,3865,70,Gingee,6462,MELMALAYANUR,607,596,VILLUPURAM,233332,Dhevanthavadi,504,,Arani,TAMIL NADU,00000,6652,Melmalaiyanur,632275,632275,Devandavadi
10,3868,69,Vandavasi,6415,THELLAR,606,593,TIRUVANNAMALAI,231465,Pazhaveri,504,,Arani,TAMIL NADU,05723,5723,Vandavasi,631635,631635,Palaveri
11,4088,196,Thirumangalam,6224,TIRUMANGALAM,623,578,MADURAI,225431,KINNIMANGALAM,541,,Virudhunagar,TAMIL NADU,05840,5840,Thirumangalam,640918,640918,Kinnimangalam
12,3984,143,Lalgudi,6377,PULLAMBADI,614,591,TIRUCHIRAPPALLI,230341,Varakuppai,524,28,Perambalur,TAMIL NADU,05777,5777,Lalgudi,635891,635891,Varaguppai
13,3946,179,Viralimalai,6264,ANNAVASAL,621,582,PUDUKKOTTAI,226629,KOTHIRAPATTI,517,26,Karur,TAMIL NADU,05818,5818,Iluppur,639244,639244,Kothirapatti
14,3866,71,Mailam,6460,MAILAM,607,596,VILLUPURAM,233242,Konamangalam,504,,Arani,TAMIL NADU,05729,5729,Tindivanam,632730,632730,Konamangalam
15,4012,185,Tiruppattur,6315,SAKKOTTAI,622,585,SIVAGANGA,228195,Kothamangalam,528,33,Sivaganga,TAMIL NADU,05830,5830,Karaikkudi,640063,640063,Kanadukathan
16,4010,186,Sivaganga,6310,KALAIYARKOIL,622,585,SIVAGANGA,228034,KANJIPATTI,528,33,Sivaganga,TAMIL NADU,00000,6644,Kalaiyarkoil,640308,640308,Purasadiudappu
17,3995,183,Aranthangi,6265,ARANTANGI,621,582,PUDUKKOTTAI,226672,Keelkudi Amman Jaakki,526,34,Ramanathapuram,TAMIL NADU,05826,5826,Aranthangi,639793,639793,Amanjakki
18,4076,45,Kilvaithinankuppam,6439,K.V.KUPPAM,605,595,VELLORE,232402,Kothamangalam,539,7,Vellore,TAMIL NADU,00000,7052,K V Kuppam,630444,630444,Vadavirinjipuram
19,3868,69,Vandavasi,6415,THELLAR,606,593,TIRUVANNAMALAI,231456,Mazhaiyur,504,,Arani,TAMIL NADU,05723,5723,Vandavasi,631523,631523,Malaiyur
20,3864,68,Cheyyar,6419,VEMBAKKAM,606,593,TIRUVANNAMALAI,231711,Rantham,504,,Arani,TAMIL NADU,00000,6624,Vembakkam,631243,631243,Nayanthangal
21,4005,88,Salem (west),6304,TARAMANGALAM,608,584,SALEM,227863,KARUKKALVADI,527,16,Salem,TAMIL NADU,05737,5737,Omalur,633893,633893,Karukkalvadi (CT)
22,3975,93,Senthamangalam,6245,NAMAGIRIPET,609,580,NAMAKKAL,226121,Perumagoundampalayam,522,,Namakkal,TAMIL NADU,05746,5746,Rasipuram,634538,634538,Perumagoundampalayam
23,4007,182,Alangudi,6269,KARAMBAKUDI,621,582,PUDUKKOTTAI,226821,KARU.KEELATHERU,528,33,Sivaganga,TAMIL NADU,05825,5825,Karambakudi,639677,639677,Kurumbivayal
24,4079,76,Thirukoilur,6463,MUGAIYUR,607,596,VILLUPURAM,233434,SITHAMUR .V,540,,Viluppuram,TAMIL NADU,00000,6651,Kandachipuram,633119,633119,V.Chithamur
25,3865,70,Gingee,6462,MELMALAYANUR,607,596,VILLUPURAM,233331,Avalurpettai,504,,Arani,TAMIL NADU,00000,6652,Melmalaiyanur,632315,632315,Avalurpet
26,4008,184,Karaikudi,6312,KANNANKUDI,622,585,SIVAGANGA,228114,KALLIVAYAL,528,33,Sivaganga,TAMIL NADU,05831,5831,Devakottai,640127,640127,Unjanai
27,3948,55,Hosur,6206,HOSUR,631,577,KRISHNAGIRI,224821,Begapalli,518,14,Krishnagiri,TAMIL NADU,05890,5890,Hosur,643761,643761,Begepalli
28,3865,70,Gingee,6462,MELMALAYANUR,607,596,VILLUPURAM,233356,Melsevalampadi,504,,Arani,TAMIL NADU,00000,6652,Melmalaiyanur,632270,632270,Nandipuram
29,4084,74,Viluppuram,6458,KANDAMANGALAM,607,596,VILLUPURAM,233170,PUDHUR .V,540,,Viluppuram,TAMIL NADU,05731,5731,Viluppuram,632958,632958,V.Pudur
30,3944,138,Manapparai,6375,MARUNGAPURI,614,591,TIRUCHIRAPPALLI,230234,Amma Chathiram,517,26,Karur,TAMIL NADU,05781,5781,Manapparai,636143,636143,Kumarikatti Hills RF
31,3971,94,Namakkal,6249,PUDUCHATRAM,609,580,NAMAKKAL,226198,Minnampalli,522,,Namakkal,TAMIL NADU,05747,5747,Namakkal,634614,634614,Minnampalli
32,3863,67,Arani,6404,ARANI,606,593,TIRUVANNAMALAI,230987,Panaiyur,504,,Arani,TAMIL NADU,05721,5721,Arani,631190,631190,Panaiyur
33,3988,146,Thuraiyur,6382,UPPILIAPURAM,614,591,TIRUCHIRAPPALLI,230464,Thenpuranadu,524,28,Perambalur,TAMIL NADU,05775,5775,Thuraiyur,635813,635813,T.Kanapadi Encl R.F.
34,4012,185,Tiruppattur,6318,TIRUPPATHUR,622,585,SIVAGANGA,228303,MATHAVARAYANPATTI,528,33,Sivaganga,TAMIL NADU,05829,5829,Thiruppathur,640012,640012,Madavarayanpatti
35,4076,45,Kilvaithinankuppam,6439,K.V.KUPPAM,605,595,VELLORE,232421,Veppanganeri,539,7,Vellore,TAMIL NADU,00000,7052,K V Kuppam,630432,630432,Veppanganeri
36,4076,45,Kilvaithinankuppam,6437,GUDIYATTAM,605,595,VELLORE,232348,Viluthonpalayam,539,7,Vellore,TAMIL NADU,05712,5712,Gudiyatham,630272,630272,Viludonapaliam
37,3969,168,Thiruvarur,6361,KORADACHERRY,619,590,THIRUVARUR,229714,KANKODUTHAVANITHAM,521,30,Nagapattinam,TAMIL NADU,00000,6627,Koothanallur,638012,638012,Kankoduthavanitham
38,3887,149,Ariyalur,6256,ARIYALUR,616,610,Ariyalur,226378,Nagamangalam,508,12,Chidambaram,TAMIL NADU,05787,5787,Ariyalur,636473,636473,Nagamangalam
39,3865,70,Gingee,6462,MELMALAYANUR,607,596,VILLUPURAM,233358,Merakonam,504,,Arani,TAMIL NADU,00000,6652,Melmalaiyanur,632274,632274,Kammantangal
40,4035,190,Sholavandan,6220,MADURAI WEST,623,578,MADURAI,225300,Siruvalai,532,,Theni,TAMIL NADU,05836,5836,Madurai North,640591,640591,Siruvalai
41,4079,76,Thirukoilur,6463,MUGAIYUR,607,596,VILLUPURAM,233412,KONGARAYANUR,540,,Viluppuram,TAMIL NADU,00000,7053,THIRUVENNAINALLUR,633167,633167,Kongarayanur
42,4008,184,Karaikudi,6315,SAKKOTTAI,622,585,SIVAGANGA,228187,Amaravathiputhur,528,33,Sivaganga,TAMIL NADU,05830,5830,Karaikkudi,640098,640098,Amaravathi
43,3978,107,Bhavanisagar,6158,BHAVANISAGAR,610,573,ERODE,223617,VINNAPALLI,523,18,Nilgiris,TAMIL NADU,05749,5749,Sathyamangalam,634842,634842,Velamundi(R.F.)
44,4009,187,Manamadurai,6319,TIRUPPUVANAM,622,585,SIVAGANGA,228327,ALLINAGARAM,528,33,Sivaganga,TAMIL NADU,00000,5965,Thiruppuvanam,640369,640369,Panaiyanendal
45,4031,198,Andipatti,6338,ANDIPATTI,624,588,THENI,229014,Rajagopalanpatti,532,,Theni,TAMIL NADU,05846,5846,Andipatti,641147,641147,Timmarasanayakkanur Bit-1
46,4031,198,Andipatti,6341,KADAMALAIKUNDRU MYLADUMPARAI,624,588,THENI,229056,Ettapparajapuram,532,,Theni,TAMIL NADU,05846,5846,Andipatti,641164,641164,Vallalnathi
47,4072,63,Tiruvannamalai,6417,TIRUVANNAMALAI,606,593,TIRUVANNAMALAI,231601,Thenmathur,538,,Tiruvannamalai,TAMIL NADU,05727,5727,Tiruvannamalai,632196,632196,Thenmathur
48,4008,184,Karaikudi,6315,SAKKOTTAI,622,585,SIVAGANGA,228198,Nattuseri,528,33,Sivaganga,TAMIL NADU,05830,5830,Karaikkudi,640079,640079,Nattuseri
49,3867,66,Polur,6406,CHETPUT,606,593,TIRUVANNAMALAI,231059,Gengasudamani,504,,Arani,TAMIL NADU,00000,6617,Chetpet,631829,631829,Gangasoodamani
50,3988,146,Thuraiyur,6382,UPPILIAPURAM,614,591,TIRUCHIRAPPALLI,230460,Pachaperumalpatti,524,28,Perambalur,TAMIL NADU,05775,5775,Thuraiyur,635770,635770,Rudrakshakombai
51,3890,150,Jayankondam,6255,ANDIMADAM,616,610,Ariyalur,226341,Kavarapalayam,508,12,Chidambaram,TAMIL NADU,00000,5983,Andimadam,636344,636344,Vilandai (North)
52,4012,185,Tiruppattur,6311,KALLAL,622,585,SIVAGANGA,228105,THATTATTI,528,33,Sivaganga,TAMIL NADU,05829,5829,Thiruppathur,640023,640023,Thattati
53,4067,62,Chengam,6414,THANDRAMPET,606,593,TIRUVANNAMALAI,231426,Thondamanur,538,,Tiruvannamalai,TAMIL NADU,05726,5726,THANDRAMPET,632032,632032,Thondamanur
54,4076,45,Kilvaithinankuppam,6439,K.V.KUPPAM,605,595,VELLORE,232401,Kosavanpudur,539,7,Vellore,TAMIL NADU,00000,7052,K V Kuppam,630427,630427,Pasumathur
55,3868,69,Vandavasi,6418,VANDAVASI,606,593,TIRUVANNAMALAI,231625,Kavaniyathur,504,,Arani,TAMIL NADU,05723,5723,Vandavasi,631604,631604,Kavaniyathur
56,4082,73,Vanur,6458,KANDAMANGALAM,607,596,VILLUPURAM,233145,KALITHIRAMPATTU,540,,Viluppuram,TAMIL NADU,00000,5978,Vikravandi,632962,632962,Kalittirambattu
57,4073,48,Ambur,6444,MADHANUR,000,732,Tirupathur,232580,MADANOOR,539,7,Vellore,TAMIL NADU,05719,5719,Ambur,630999,630999,Madanur
58,3949,53,Krishnagiri,6214,VEPPANAPALLI,631,577,KRISHNAGIRI,225107,P.K. Peddanapalli,518,14,Krishnagiri,TAMIL NADU,05891,5891,Krishnagiri,643924,643924,Polupalli
59,3946,179,Viralimalai,6264,ANNAVASAL,621,582,PUDUKKOTTAI,226653,VEERAPATTY,517,26,Karur,TAMIL NADU,05818,5818,Iluppur,639261,639261,Veerapatti
60,3926,78,Rishivandiyam,6465,RISHIVANDIAM,000,729,KALLAKURICHI,233508,Erudaiyampattu,514,,Kallakurichi,TAMIL NADU,05733,5733,Sankarapuram,633245,633245,Adanur
61,3986,145,Musiri,6380,THOTTIAM,614,591,TIRUCHIRAPPALLI,230399,M-kalathur,524,28,Perambalur,TAMIL NADU,05773,5773,Thottiyam,635668,635668,M.Kalathur
62,4044,180,Pudukkottai,6269,KARAMBAKUDI,621,582,PUDUKKOTTAI,226835,PALLAVARAYANPATHAI,534,27,Tiruchirappalli,TAMIL NADU,05825,5825,Karambakudi,639673,639673,Pallavarayanpathai
63,3969,168,Thiruvarur,6361,KORADACHERRY,619,590,THIRUVARUR,229733,PERUNTHARAKUDI,521,30,Nagapattinam,TAMIL NADU,05806,5806,Thiruvarur,638006,638006,Kulikkarai
64,3864,68,Cheyyar,6403,ANAKKAVUR,606,593,TIRUVANNAMALAI,230961,Vadathinnalur,504,,Arani,TAMIL NADU,05722,5722,Cheyyar,631410,631410,Vadathinallur
65,4007,182,Alangudi,6269,KARAMBAKUDI,621,582,PUDUKKOTTAI,226847,VADATHERU,528,33,Sivaganga,TAMIL NADU,05825,5825,Karambakudi,639681,639681,Vadatheru
66,3969,168,Thiruvarur,6361,KORADACHERRY,619,590,THIRUVARUR,229724,MUSIRIYAM,521,30,Nagapattinam,TAMIL NADU,00000,6627,Koothanallur,638003,638003,Nalilondru
67,3868,69,Vandavasi,6418,VANDAVASI,606,593,TIRUVANNAMALAI,231640,Manganallur,504,,Arani,TAMIL NADU,05723,5723,Vandavasi,631505,631505,Manganallur
68,3864,68,Cheyyar,6403,ANAKKAVUR,606,593,TIRUVANNAMALAI,230925,Kilkolathur,504,,Arani,TAMIL NADU,05722,5722,Cheyyar,631371,631371,Kizhkolathur
69,3988,146,Thuraiyur,6382,UPPILIAPURAM,614,591,TIRUCHIRAPPALLI,230464,Thenpuranadu,524,28,Perambalur,TAMIL NADU,05775,5775,Thuraiyur,635820,635820,Solamathi R.F
70,3926,78,Rishivandiyam,6469,TIRUKKOYILUR,000,729,KALLAKURICHI,233708,MADAMPOONDI,514,,Kallakurichi,TAMIL NADU,05732,5732,Tirukkoyilur,633149,633149,Madampoondi
71,3868,69,Vandavasi,6418,VANDAVASI,606,593,TIRUVANNAMALAI,231623,Kallanguthu,504,,Arani,TAMIL NADU,05723,5723,Vandavasi,631514,631514,Marudhadu
72,4035,190,Sholavandan,6220,MADURAI WEST,623,578,MADURAI,225299,Samayanallur,532,,Theni,TAMIL NADU,05836,5836,Madurai North,640707,640707,Samayanallur (CT)
73,3866,71,Mailam,6464,OLAKKUR,607,596,VILLUPURAM,233496,VAIRAPURAM,504,,Arani,TAMIL NADU,05729,5729,Tindivanam,632527,632527,Tengapakkam
74,4073,48,Ambur,6444,MADHANUR,000,732,Tirupathur,232718,Rajakkal,539,7,Vellore,TAMIL NADU,05719,5719,Ambur,630327,630327,Rajakkal
75,4056,104,Bhavani,6155,AMMAPET,610,573,ERODE,223557,GURUVAREDDIYUR,536,,Tiruppur,TAMIL NADU,00000,5969,Anthiyur,634857,634857,Illippili
76,3975,93,Senthamangalam,6245,NAMAGIRIPET,609,580,NAMAKKAL,226122,T Jederpalayam,522,,Namakkal,TAMIL NADU,05746,5746,Rasipuram,634557,634557,Tho. Jadarpalayam
77,4058,103,Perundurai,6159,CHENNIMALAI,610,573,ERODE,223633,Paniyampalli,536,,Tiruppur,TAMIL NADU,05752,5752,Perundurai,635007,635007,Chennimalai
78,4069,65,Kalasapakkam,6409,KALASAPAKKAM,606,593,TIRUVANNAMALAI,231198,Singaravady,538,,Tiruvannamalai,TAMIL NADU,00000,5959,Kalasapakkam,631801,631801,Kadalady
79,4010,186,Sivaganga,6310,KALAIYARKOIL,622,585,SIVAGANGA,228026,ATHAPADAKKI,528,33,Sivaganga,TAMIL NADU,00000,6644,Kalaiyarkoil,640322,640322,Adappadakki
80,3865,70,Gingee,6454,GINGEE,607,596,VILLUPURAM,233012,Sethavarai,504,,Arani,TAMIL NADU,05728,5728,Gingee,632435,632435,Settavarai
81,3947,52,Bargur,6207,KAVERIPATTINAM,631,577,KRISHNAGIRI,224863,Maruderi,518,14,Krishnagiri,TAMIL NADU,05893,5893,Pochampalli,644137,644137,Maruderi
82,3988,146,Thuraiyur,6382,UPPILIAPURAM,614,591,TIRUCHIRAPPALLI,230465,Vairichettipalayam,524,28,Perambalur,TAMIL NADU,05775,5775,Thuraiyur,635757,635757,PASALLIKOMBAI
83,4056,104,Bhavani,6157,BHAVANI,610,573,ERODE,223595,ORICHERI,536,,Tiruppur,TAMIL NADU,05750,5750,Bhavani,634882,634882,Oricheri
84,3948,55,Hosur,6206,HOSUR,631,577,KRISHNAGIRI,224833,Nagondapalli,518,14,Krishnagiri,TAMIL NADU,05890,5890,Hosur,643817,643817,Nagondapalli
85,3862,3,Tiruttani,6356,TIRUTTANI,602,589,THIRUVALLUR,229551,Suryanagaram,503,6,Arakkonam,TAMIL NADU,05696,5696,Tiruttani,628886,628886,Suryanagaram
86,4008,184,Karaikudi,6315,SAKKOTTAI,622,585,SIVAGANGA,228188,Ambakkudi,528,33,Sivaganga,TAMIL NADU,05830,5830,Karaikkudi,640092,640092,Sirugavayal
87,3922,100,Modakurichi,6166,MODAKURICHI,610,573,ERODE,223741,KULUR,513,,Erode,TAMIL NADU,00000,6636,Modakkurichi,635042,635042,Thuyyampoondurai
88,4071,50,Tiruppattur,6438,JOLARPET,000,732,Tirupathur,232368,MANDALAVADI,538,,Tiruvannamalai,TAMIL NADU,05720,5720,Tirupathur,631075,631075,Mandalavadi
