Local Body Code,Local Body Version,Local Body Name (IN English),Local Body Name (In Local),Local Body Type Code,Local Body Type Name,Intermediate/Block Panchayat Code,District Panchayat Code,State Code,State Name (In English)
259500,1,1Ayouk,1Ayouk,11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259493,1,7 Km. Farm,7 Km. Farm,11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259504,1,Afra Bay,Afra Bay,11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259448,1,Akupa,Akupa,11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259470,1,Alexandera (River),Alexandera (River),11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259441,1,Alhiat,Alhiat,11,Village Council,259692,4973,35,ANDAMAN AND NICOBAR ISLANDS
259334,1,Alhitoth,Alhiloth,11,Village Council,259580,0,35,ANDAMAN AND NICOBAR ISLANDS
259363,1,Alipa,Alips,11,Village Council,259616,0,35,ANDAMAN AND NICOBAR ISLANDS
259333,1,Alkaipoh,Alkripoh,11,Village Council,259580,0,35,ANDAMAN AND NICOBAR ISLANDS
259372,1,AlNilHitNilTouch (BaluBasti),AlNilHitNilTouch (BaluBasti),11,Village Council,259616,0,35,ANDAMAN AND NICOBAR ISLANDS
259423,1,Alointung,Alointung,11,Village Council,259647,0,35,ANDAMAN AND NICOBAR ISLANDS
259428,1,Aloora,Aloora,11,Village Council,259680,0,35,ANDAMAN AND NICOBAR ISLANDS
259427,1,Aloorang,Aloorang,11,Village Council,259680,0,35,ANDAMAN AND NICOBAR ISLANDS
259424,1,Alpintu/Alpintung,Alpintu/Alpintung,11,Village Council,259647,0,35,ANDAMAN AND NICOBAR ISLANDS
259379,1,Alreak,Alreak,11,Village Council,259616,0,35,ANDAMAN AND NICOBAR ISLANDS
259354,1,Alsama,Alsama,11,Village Council,259580,0,35,ANDAMAN AND NICOBAR ISLANDS
259352,1,Altaful,Altaful,11,Village Council,259580,0,35,ANDAMAN AND NICOBAR ISLANDS
259371,1,Altheak,Altheak,11,Village Council,259616,0,35,ANDAMAN AND NICOBAR ISLANDS
259405,1,Alukian,Alhukheck,11,Village Council,259647,0,35,ANDAMAN AND NICOBAR ISLANDS
259446,1,Anul,Anula,11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259313,1,Arrong,Arrong,11,Village Council,259563,0,35,ANDAMAN AND NICOBAR ISLANDS
259345,1,Atkuna,Alkun,11,Village Council,259580,0,35,ANDAMAN AND NICOBAR ISLANDS
259461,1,Bahua,Bahua,11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259401,1,Banderkari (Pulu),Banderkari (Pulu),11,Village Council,259647,0,35,ANDAMAN AND NICOBAR ISLANDS
259437,1,Bengali,Bengali,11,Village Council,259680,0,35,ANDAMAN AND NICOBAR ISLANDS
259412,1,BeraInak/Badnak,BeraInak/Badnak,11,Village Council,259647,0,35,ANDAMAN AND NICOBAR ISLANDS
259462,1,Bewai (Kuwak),Bewai (Kuwak),11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259323,1,Big Lapati (Jayanti),Big Lapati (Jayanti),11,Village Council,259563,0,35,ANDAMAN AND NICOBAR ISLANDS
259381,1,Bompoka Island,Bompoka Island,11,Village Council,259616,0,35,ANDAMAN AND NICOBAR ISLANDS
259397,1,Bumpal,Bumpal,11,Village Council,259647,0,35,ANDAMAN AND NICOBAR ISLANDS
259374,1,Champin,Champin,11,Village Council,259616,0,35,ANDAMAN AND NICOBAR ISLANDS
259400,1,Chanel (Chanol),Chanel (Chanol),11,Village Council,259647,0,35,ANDAMAN AND NICOBAR ISLANDS
259403,1,Changua,Changup,11,Village Council,259647,0,35,ANDAMAN AND NICOBAR ISLANDS
259497,1,Chaw Nallah,Chaw Nallah,11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259360,1,Chengtamilan,Chengtamilan,11,Village Council,259580,0,35,ANDAMAN AND NICOBAR ISLANDS
259490,1,Chiengen,Chiengen,11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259331,1,Chonghipoh,Chonghipoh,11,Village Council,259580,0,35,ANDAMAN AND NICOBAR ISLANDS
259440,1,Chongkamong,Chongkamong,11,Village Council,259692,4973,35,ANDAMAN AND NICOBAR ISLANDS
259359,1,Chonsiyala,Chonsiyala,11,Village Council,259580,0,35,ANDAMAN AND NICOBAR ISLANDS
259411,1,ChotaInak,ChotaInak,11,Village Council,259647,0,35,ANDAMAN AND NICOBAR ISLANDS
259321,1,Chuckchucha,Chuckchucha,11,Village Council,259563,0,35,ANDAMAN AND NICOBAR ISLANDS
259432,1,ChukMachi,ChukMachi,11,Village Council,259680,0,35,ANDAMAN AND NICOBAR ISLANDS
259469,1,Dairkurat,Dairkurat,11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259485,1,Dakhiyon (Near Kokeon) (Forest Camp),Dakhiyon (Near Kokeon) (Forest Camp),11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259480,1,Danlet,Danlet,11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259398,1,Daring,Daring,11,Village Council,259647,0,35,ANDAMAN AND NICOBAR ISLANDS
259475,1,Dogmar River,Dogmar River,11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259458,1,Elahi/Ilhoya,Elahi/Ilhoya,11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259429,1,Enam,Enam,11,Village Council,259680,0,35,ANDAMAN AND NICOBAR ISLANDS
259382,1,E-Wall,E-Wall,11,Village Council,259616,0,35,ANDAMAN AND NICOBAR ISLANDS
259491,1,Galathia River (Forest Camp),Galathia River (Forest Camp),11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259505,1,GolTikry,GolTikry,11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259347,1,Hakonhala,Hakonhala,11,Village Council,259580,0,35,ANDAMAN AND NICOBAR ISLANDS
259351,1,Halnatai(Hoinatai),Halnatai(Hoinatai),11,Village Council,259580,0,35,ANDAMAN AND NICOBAR ISLANDS
259365,1,Hindra,Hindra,11,Village Council,259616,0,35,ANDAMAN AND NICOBAR ISLANDS
259375,1,Hinnunga,Hinnunga,11,Village Council,259616,0,35,ANDAMAN AND NICOBAR ISLANDS
259483,1,Hin-Pou-Chi,Hin-Pou-Chi,11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259380,1,Hintona,Hintona,11,Village Council,259616,0,35,ANDAMAN AND NICOBAR ISLANDS
259329,1,Hitlat,Hitlat,11,Village Council,259580,0,35,ANDAMAN AND NICOBAR ISLANDS
259454,1,Hoin (Incl. Ikuia),Hoin (Incl. Ikuia),11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259343,1,Hoipoh,Hoipoh,11,Village Council,259580,0,35,ANDAMAN AND NICOBAR ISLANDS
259464,1,Hokesiang,Hokesiang,11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259340,1,Hontona,Hontona,11,Village Council,259580,0,35,ANDAMAN AND NICOBAR ISLANDS
259338,1,Hutnyak,Hutnyak,11,Village Council,259580,0,35,ANDAMAN AND NICOBAR ISLANDS
