S.No.,"Local Body Code","Local Body Version",Local Body Name,"Local Body Name (In Local)","Localbody Type Code",Census 2011 Code,State Code,State Name
1,253098,6,Port Blair,,5,804041,35,ANDAMAN AND NICOBAR ISLANDS
2,257868,1,Addanki,,7,000000,28,ANDHRA PRADESH
3,251792,1,Adoni,,5,803003,28,ANDHRA PRADESH
4,296256,1,AKIVEEDU,AKIVEEDU,7,,28,ANDHRA PRADESH
5,253272,3,Allagadda,,7,000000,28,ANDHRA PRADESH
6,251699,1,Amadalavalasa,,7,802941,28,ANDHRA PRADESH
7,251735,2,Amalapuram,,5,802958,28,ANDHRA PRADESH
8,248112,2,ANANTAPUR,,4,803009,28,ANDHRA PRADESH
9,258033,3,Atmakur,,5,000000,28,ANDHRA PRADESH
10,253270,4,Atmakur (Kurnool),,5,000000,28,ANDHRA PRADESH
11,248111,1,BADVEL,,5,802994,28,ANDHRA PRADESH
12,251760,1,Bapatla,,5,802984,28,ANDHRA PRADESH
13,296260,1,BETHAMCHERLA,BETHAMCHERLA,7,,28,ANDHRA PRADESH
14,251741,2,Bhimavaram,,5,802964,28,ANDHRA PRADESH
15,251702,1,Bobbili,,5,802944,28,ANDHRA PRADESH
16,296328,1,Buchireddypalem,Buchireddypalem,7,,28,ANDHRA PRADESH
17,251756,3,Chilakaluripeta,,5,802980,28,ANDHRA PRADESH
18,253274,6,chimakurthy,,7,000000,28,ANDHRA PRADESH
19,251763,1,Chirala,,5,802987,28,ANDHRA PRADESH
20,248122,10,CHITTOOR,,4,803019,28,ANDHRA PRADESH
21,251782,1,Cuddapah,,4,802998,28,ANDHRA PRADESH
22,296261,1,DACHEPALLI,DACHEPALLI,7,,28,ANDHRA PRADESH
23,296263,1,DARSI,DARSI,7,,28,ANDHRA PRADESH
24,248115,1,DHARMAVARAM,,5,803010,28,ANDHRA PRADESH
25,253169,1,Dhone(M),,5,803005,28,ANDHRA PRADESH
26,251739,3,Eluru,,4,802962,28,ANDHRA PRADESH
27,257869,1,Giddalur,,7,000000,28,ANDHRA PRADESH
28,277316,2,Gollaprolu,,7,000000,28,ANDHRA PRADESH
29,251797,3,Gooty,,5,000000,28,ANDHRA PRADESH
30,251747,6,Gudivada,,5,802970,28,ANDHRA PRADESH
31,263068,3,GUDUR,GUDUR,5,802992,28,ANDHRA PRADESH
32,251773,6,Gudur (kurnool),,7,000000,28,ANDHRA PRADESH
33,248113,1,GUNTAKAL,,5,803007,28,ANDHRA PRADESH
34,251757,11,Guntur,,4,802981,28,ANDHRA PRADESH
35,296262,1,GURAJALA,GURAJALA,7,,28,ANDHRA PRADESH
36,248118,1,HINDUPUR,,5,803012,28,ANDHRA PRADESH
37,251696,1,Ichchapuram,,7,802939,28,ANDHRA PRADESH
38,277319,1,Jaggiahpet,,5,000000,28,ANDHRA PRADESH
39,251780,1,Jammalamadugu,,5,802996,28,ANDHRA PRADESH
40,257906,2,Jangareddygudem,,5,000000,28,ANDHRA PRADESH
41,248116,1,KADIRI,,5,803011,28,ANDHRA PRADESH
42,251731,3,Kakinada,,4,802955,28,ANDHRA PRADESH
43,251799,2,Kalyandurg,,5,000000,28,ANDHRA PRADESH
44,296259,1,KAMALAPURAM,KAMALAPURAM,7,,28,ANDHRA PRADESH
45,251768,4,Kandukur,,5,802989,28,ANDHRA PRADESH
46,253295,3,kanigiri,,7,000000,28,ANDHRA PRADESH
47,251770,3,Kavali,,5,802990,28,ANDHRA PRADESH
48,296264,2,KONDAPALLI,KONDAPALLI,5,,28,ANDHRA PRADESH
49,251736,2,Kovvur,,5,802959,28,ANDHRA PRADESH
50,296257,2,KUPPAM,KUPPAM,5,,28,ANDHRA PRADESH
51,251789,3,Kurnool,,4,803002,28,ANDHRA PRADESH
52,251751,1,Macherla,మంచేరియాల్,5,802973,28,ANDHRA PRADESH
53,251750,2,Machilipatnam Municipal Corporation,,4,802972,28,ANDHRA PRADESH
54,253253,3,Madakasira,,7,000000,28,ANDHRA PRADESH
55,248119,1,MADANAPALLI,,5,803015,28,ANDHRA PRADESH
56,251732,1,Mandapeta,,5,802956,28,ANDHRA PRADESH
57,251752,3,Mangalagiri,,5,802976,28,ANDHRA PRADESH
58,251762,1,Markapur,,5,802986,28,ANDHRA PRADESH
59,277315,2,Mummidivaram,,7,000000,28,ANDHRA PRADESH
60,253297,2,Mydukur,,5,000000,28,ANDHRA PRADESH
61,248125,1,NAGARI,,5,803016,28,ANDHRA PRADESH
62,257831,3,Naidupeta,,5,000000,28,ANDHRA PRADESH
63,254922,2,Nandigama,,7,000000,28,ANDHRA PRADESH
64,253273,3,Nandikotkur,,7,000000,28,ANDHRA PRADESH
65,251795,4,Nandyal,,5,803004,28,ANDHRA PRADESH
66,251742,1,Narasapur,,5,802965,28,ANDHRA PRADESH
67,251755,3,Narasaraopeta,,5,802979,28,ANDHRA PRADESH
68,251716,3,Narsipatnam,,5,000000,28,ANDHRA PRADESH
69,251711,3,Nellimarla,,7,000000,28,ANDHRA PRADESH
70,251772,4,Nellore,,4,802991,28,ANDHRA PRADESH
71,251737,1,Nidadavole,,5,802960,28,ANDHRA PRADESH
72,251745,1,Nuzvid,,5,802968,28,ANDHRA PRADESH
73,251766,4,Ongole,,4,802988,28,ANDHRA PRADESH
74,251743,5,Palacole,,5,802966,28,ANDHRA PRADESH
75,257967,1,PALAKONDA,,7,000000,28,ANDHRA PRADESH
76,248123,1,PALAMANER,,5,803020,28,ANDHRA PRADESH
77,251695,1,Palasa Kasibugga,,7,802938,28,ANDHRA PRADESH
78,253252,3,Pamidi,,7,000000,28,ANDHRA PRADESH
79,251701,2,Parvathipuram,,5,802943,28,ANDHRA PRADESH
80,251749,2,Pedana,,5,802971,28,ANDHRA PRADESH
81,251724,1,Peddapuram,,5,802951,28,ANDHRA PRADESH
82,296250,1,PENUKONDA,PENUKONDA,7,,28,ANDHRA PRADESH
83,253167,1,Piduguralla,,5,802974,28,ANDHRA PRADESH
84,251728,1,Pithapuram,,5,802954,28,ANDHRA PRADESH
85,251759,1,Ponnuru,,5,802983,28,ANDHRA PRADESH
86,251778,1,Proddatur,,5,802995,28,ANDHRA PRADESH
87,253101,1,Pulivendula,,5,802997,28,ANDHRA PRADESH
88,248120,1,PUNGANUR,,5,803018,28,ANDHRA PRADESH
89,253254,3,Puttaparthi,,7,000000,28,ANDHRA PRADESH
90,248126,1,PUTTUR,,5,803017,28,ANDHRA PRADESH
91,251725,11,Rajahmundry,,4,802952,28,ANDHRA PRADESH
92,251698,1,Rajam,,7,802940,28,ANDHRA PRADESH
93,253102,1,Rajampet,,5,803000,28,ANDHRA PRADESH
94,251733,1,Ramachandrapuram,,5,802957,28,ANDHRA PRADESH
95,251786,1,Rayachoti,,5,802999,28,ANDHRA PRADESH
96,248117,1,RAYADURG,,5,803006,28,ANDHRA PRADESH
97,251761,1,Repalle,,5,802985,28,ANDHRA PRADESH
98,251703,1,Salur,,5,802945,28,ANDHRA PRADESH
99,251727,1,Samalkot,,5,802953,28,ANDHRA PRADESH
100,251753,1,Sattenapalle,,5,802977,28,ANDHRA PRADESH
101,251700,2,Srikakulam,,4,802942,28,ANDHRA PRADESH
102,248124,2,SRIKALAHASTI,,5,803013,28,ANDHRA PRADESH
103,253227,3,Sullurupeta,,5,000000,28,ANDHRA PRADESH
104,253168,3,Tadepalli,,5,802975,28,ANDHRA PRADESH
105,251738,3,Tadepalligudem,,5,802961,28,ANDHRA PRADESH
106,248114,1,TADIPATRI,,5,803008,28,ANDHRA PRADESH
107,251740,2,Tanuku,,5,802963,28,ANDHRA PRADESH
108,251758,1,Tenali,,5,802982,28,ANDHRA PRADESH
109,248121,8,TIRUPATI,,4,803014,28,ANDHRA PRADESH
110,254924,2,Tiruvuru,,7,000000,28,ANDHRA PRADESH
111,251722,1,Tuni,,5,802950,28,ANDHRA PRADESH
112,251774,4,Venkatagiri,,5,802993,28,ANDHRA PRADESH
113,251746,2,Vijayawada,,4,802969,28,ANDHRA PRADESH
114,251754,2,Vinukonda,,5,802978,28,ANDHRA PRADESH
115,251719,6,Visakhapatnam,,4,802947,28,ANDHRA PRADESH
116,251709,5,Vizianagaram Municipal Corporation,,4,802946,28,ANDHRA PRADESH
117,254923,1,Vuyyuru,,7,000000,28,ANDHRA PRADESH
118,258054,2,Yelamanchili,,5,000000,28,ANDHRA PRADESH
119,277317,1,Yeleswaram,,7,000000,28,ANDHRA PRADESH
120,251787,2,Yemmiganur,,5,803001,28,ANDHRA PRADESH
121,251781,2,Yerraguntla,,7,000000,28,ANDHRA PRADESH
122,249705,2,Along,,7,801432,12,ARUNACHAL PRADESH
123,249706,2,Basar,,7,801433,12,ARUNACHAL PRADESH
124,249699,1,Bomdila,,7,801426,12,ARUNACHAL PRADESH
125,249711,1,Changlang,,7,801437,12,ARUNACHAL PRADESH
126,249704,2,Daporijo,,7,801431,12,ARUNACHAL PRADESH
127,249713,2,Deomali,,7,801440,12,ARUNACHAL PRADESH
128,249701,2,Itanagar,,7,801428,12,ARUNACHAL PRADESH
129,276621,3,ITANAGAR,ITANAGAR,4,000000,12,ARUNACHAL PRADESH
130,249712,1,Jairampur,,7,801438,12,ARUNACHAL PRADESH
131,249714,1,Khonsa,,7,801441,12,ARUNACHAL PRADESH
132,249702,2,Naharlagun,,7,801429,12,ARUNACHAL PRADESH
133,249710,2,Namsai,,7,801448,12,ARUNACHAL PRADESH
134,249707,2,Pasighat,,7,801435,12,ARUNACHAL PRADESH
135,276622,2,PASIGHAT,PASIGHAT,5,000000,12,ARUNACHAL PRADESH
136,249708,2,Roing,,7,801446,12,ARUNACHAL PRADESH
137,249700,2,Seppa,,7,801427,12,ARUNACHAL PRADESH
138,249698,1,Tawang,,7,801424,12,ARUNACHAL PRADESH
139,249709,2,Tezu,,7,801447,12,ARUNACHAL PRADESH
140,249703,2,Ziro,,7,801443,12,ARUNACHAL PRADESH
141,249838,1,Abhayapuri,,7,801621,18,ASSAM
142,249906,1,Amguri,,5,801590,18,ASSAM
143,249941,1,Badarpur,,7,801617,18,ASSAM
144,253264,2,Bakulia,,7,000000,18,ASSAM
145,249922,1,Barpathar,,7,801603,18,ASSAM
146,249843,1,Barpeta,,5,801557,18,ASSAM
147,249841,2,Barpeta Road,,5,801555,18,ASSAM
148,249823,1,Basugaon,,7,801622,18,ASSAM
149,249881,2,Bihpuria,,5,801576,18,ASSAM
150,249839,2,Bijni,,7,801623,18,ASSAM
151,249829,1,Bilasipara,,7,801551,18,ASSAM
152,249879,3,Biswanath Chariali,,5,801573,18,ASSAM
153,249926,2,Bokajan,,7,801607,18,ASSAM
154,277144,1,Bokakhat,,5,801599,18,ASSAM
155,249836,1,Bongaigaon,,5,801620,18,ASSAM
156,249898,1,Chabua,,7,801587,18,ASSAM
157,259861,1,Chapakhowa,,7,000000,18,ASSAM
158,249831,1,Chapar,,7,801552,18,ASSAM
159,277146,1,Demow,,7,000000,18,ASSAM
160,249918,2,Dergaon,,5,801600,18,ASSAM
161,253211,1,Dhakuakhana,,7,801578,18,ASSAM
162,249875,2,Dhekiajuli,,5,801570,18,ASSAM
163,249883,1,Dhemaji,,7,801579,18,ASSAM
164,277145,1,Dhing,,5,000000,18,ASSAM
165,249827,2,Dhubri,,5,801549,18,ASSAM
166,249896,1,Dibrugarh,,5,801586,18,ASSAM
167,249890,1,Digboi,,7,801584,18,ASSAM
168,249925,2,Diphu,,7,801606,18,ASSAM
169,249871,2,Doboka,,7,801567,18,ASSAM
170,249928,1,Dokmoka,,7,801609,18,ASSAM
171,249924,1,Donkamokam,,7,801605,18,ASSAM
172,249886,1,Doom Dooma,,7,801581,18,ASSAM
173,249826,1,Gauripur,,7,801548,18,ASSAM
174,249834,1,Goalpara,,5,801554,18,ASSAM
175,249880,1,Gohpur,,7,801574,18,ASSAM
176,249919,1,Golaghat,,5,801601,18,ASSAM
177,249825,1,Golokganj,,7,000000,18,ASSAM
178,277147,1,Goreswar,,7,000000,18,ASSAM
179,249821,1,Gossaigaon,,7,801546,18,ASSAM
180,249854,1,Guwahati,,4,801627,18,ASSAM
181,249930,1,Haflong,,7,801611,18,ASSAM
182,249944,1,Hailakandi,,5,801618,18,ASSAM
183,249923,1,Hamren,,7,801604,18,ASSAM
184,249870,2,Hojai,,5,801566,18,ASSAM
185,249844,1,Howli,,7,801558,18,ASSAM
186,249927,1,Howraghat,,7,801608,18,ASSAM
187,296973,1,Jamugurihat MB,Jamugurihat MB,5,000000,18,ASSAM
188,249912,1,Jorhat,,5,801595,18,ASSAM
189,296999,1,KAJALGAON TC,KAJALGAON TC,7,000000,18,ASSAM
190,249869,1,Kampur Town,,7,801565,18,ASSAM
191,249940,1,Karimganj,,5,801616,18,ASSAM
192,249861,1,Kharupatia,,7,801631,18,ASSAM
193,249939,3,Lakhipur Municipality,,5,801615,18,ASSAM
194,249945,1,Lala,,7,801619,18,ASSAM
195,277148,1,Langhin,,7,000000,18,ASSAM
196,249872,2,Lumding,,5,801568,18,ASSAM
197,249931,1,Mahur,,7,801612,18,ASSAM
198,249932,1,Maibong,,7,801613,18,ASSAM
199,277149,1,Majuli,,7,000000,18,ASSAM
200,249887,1,Makum,,7,801582,18,ASSAM
201,249860,1,Mangaldoi,,5,801630,18,ASSAM
202,249892,1,Margherita,,7,801585,18,ASSAM
203,249915,1,Mariani,,7,801598,18,ASSAM
204,249864,2,Marigaon,,5,801561,18,ASSAM
205,249902,1,Moran Town,,7,000000,18,ASSAM
206,249866,1,Nagaon,,5,801563,18,ASSAM
