Local Body Code,Local Body Name,Ward Code, Ward Number,Ward Name
251849,Afzalpur,63464,1,Afzalpur (TP) - Ward No.1
251849,Afzalpur,63473,10,Afzalpur (TP) - Ward No.10
251849,Afzalpur,63474,11,Afzalpur (TP) - Ward No.11
251849,Afzalpur,63475,12,Afzalpur (TP) - Ward No.12
251849,Afzalpur,63476,13,Afzalpur (TP) - Ward No.13
251849,Afzalpur,63477,14,Afzalpur (TP) - Ward No.14
251849,Afzalpur,63478,15,Afzalpur (TP) - Ward No.15
251849,Afzalpur,930330,16,Afzalpur (TP) - Ward No.16
251849,Afzalpur,930331,17,Afzalpur (TP) - Ward No.17
251849,Afzalpur,930334,18,Afzalpur (TP) - Ward No.18
251849,Afzalpur,930337,19,Afzalpur (TP) - Ward No.19
251849,Afzalpur,63465,2,Afzalpur (TP) - Ward No.2
251849,Afzalpur,930342,20,Afzalpur (TP) - Ward No.20
251849,Afzalpur,63466,3,Afzalpur (TP) - Ward No.3
251849,Afzalpur,63467,4,Afzalpur (TP) - Ward No.4
251849,Afzalpur,63468,5,Afzalpur (TP) - Ward No.5
251849,Afzalpur,63469,6,Afzalpur (TP) - Ward No.6
251849,Afzalpur,63470,7,Afzalpur (TP) - Ward No.7
251849,Afzalpur,63471,8,Afzalpur (TP) - Ward No.8
251849,Afzalpur,63472,9,Afzalpur (TP) - Ward No.9
276618,AINAPUR,1295588,3,basava nagar
276618,AINAPUR,1295587,2,gandi nagar
276618,AINAPUR,1295589,4,Hanuman Nagar
276618,AINAPUR,1295597,12,Jamadar  Oni
276618,AINAPUR,1295586,1,Janata  colony
276618,AINAPUR,1295590,5,Jolad Galli
276618,AINAPUR,1295595,10,Kalmeshwar  Oni
276618,AINAPUR,1295594,9,Katti  Oni
276618,AINAPUR,1295598,13,Killedar  Oni
276618,AINAPUR,1295591,6,Mutnal  Galli
276618,AINAPUR,1295593,8,Pagadar  Oni
276618,AINAPUR,1295599,14,Sambanavar  Oni
276618,AINAPUR,1295592,7,Sunagar  Galli
276618,AINAPUR,1295596,11,Vidhya  Nagar
276618,AINAPUR,1295600,ward No. 1,ward No. 1
276618,AINAPUR,1295609,ward No.10,ward No.10
276618,AINAPUR,1295610,ward No.11,ward No.11
276618,AINAPUR,1295611,ward No.12,ward No.12
276618,AINAPUR,1295612,ward No.13,ward No.13
276618,AINAPUR,1295613,ward No.14,ward No.14
276618,AINAPUR,1295614,ward No.15,ward No.15
276618,AINAPUR,1295615,ward No.16,ward No.16
276618,AINAPUR,1295616,ward No.17,ward No.17
276618,AINAPUR,1295617,ward No.18,ward No.18
276618,AINAPUR,1295618,ward No.19,ward No.19
276618,AINAPUR,1295601,ward No. 2,ward No. 2
276618,AINAPUR,1295602,ward No. 3,ward No.3
276618,AINAPUR,1295603,ward No. 4,ward No. 4
276618,AINAPUR,1295604,ward No. 5,ward No. 5
276618,AINAPUR,1295605,ward No. 6,ward No. 6
276618,AINAPUR,1295606,ward No. 7,ward No. 7
276618,AINAPUR,1295607,ward No. 8,ward No. 8
276618,AINAPUR,1295608,ward No. 9,ward No. 9
276540,ALAMELA,1296119,3,Ambabhavani Temple
276540,ALAMELA,1296130,14,Ambedkar Nagar
276540,ALAMELA,1296129,13,Ambedkar Nagara
276540,ALAMELA,1296117,1,Basava Nagar
276540,ALAMELA,1296128,12,Bhagawan Colony
276540,ALAMELA,1296124,8,Chandtara Galli
276540,ALAMELA,1296127,11,Gandhi Chowk
276540,ALAMELA,1296118,2,Indi Road
276540,ALAMELA,1296122,6,Kannolli colony
276540,ALAMELA,1296120,4,Khaji colony
276540,ALAMELA,1296135,19,Kumbar Colony
276540,ALAMELA,1296131,15,Madar Colony
276540,ALAMELA,1296121,5,Main Bazar
276540,ALAMELA,1296132,16,Narayanakar Colony
276540,ALAMELA,1296125,9,Soudagar colony
276540,ALAMELA,1296123,7,Sumbad colony
276540,ALAMELA,1296134,18,Tippi Gundi
276540,ALAMELA,1296126,10,Veerabhadreshwar chowk
276540,ALAMELA,1296133,17,Waddar Colony
251848,Aland,26422,1,Aland (TMC) - Ward No.1
251848,Aland,26431,10,Aland (TMC) - Ward No.10
251848,Aland,26432,11,Aland (TMC) - Ward No.11
251848,Aland,26433,12,Aland (TMC) - Ward No.12
251848,Aland,26969,13,Aland (TMC) - Ward No.13
251848,Aland,26970,14,Aland (TMC) - Ward No.14
251848,Aland,26971,15,Aland (TMC) - Ward No.15
251848,Aland,26972,16,Aland (TMC) - Ward No.16
251848,Aland,26973,17,Aland (TMC) - Ward No.17
251848,Aland,26974,18,Aland (TMC) - Ward No.18
251848,Aland,26975,19,Aland (TMC) - Ward No.19
251848,Aland,26423,2,Aland (TMC) - Ward No.2
251848,Aland,26976,20,Aland (TMC) - Ward No.20
251848,Aland,26977,21,Aland (TMC) - Ward No.21
251848,Aland,26978,22,Aland (TMC) - Ward No.22
251848,Aland,26979,23,Aland (TMC) - Ward No.23
251848,Aland,26424,3,Aland (TMC) - Ward No.3
251848,Aland,26425,4,Aland (TMC) - Ward No.4
251848,Aland,26426,5,Aland (TMC) - Ward No.5
251848,Aland,26427,6,Aland (TMC) - Ward No.6
251848,Aland,26428,7,Aland (TMC) - Ward No.7
251848,Aland,26429,8,Aland (TMC) - Ward No.8
251848,Aland,26430,9,Aland (TMC) - Ward No.9
251894,Alnavar,28106,1,Alnavar (TP) - Ward No.1
251894,Alnavar,28115,10,Alnavar (TP) - Ward No.10
251894,Alnavar,28116,11,Alnavar (TP) - Ward No.11
251894,Alnavar,28117,12,Alnavar (TP) - Ward No.12
251894,Alnavar,28118,13,Alnavar (TP) - Ward No.13
251894,Alnavar,28119,14,Alnavar (TP) - Ward No.14
251894,Alnavar,28120,15,Alnavar (TP) - Ward No.15
251894,Alnavar,28107,2,Alnavar (TP) - Ward No.2
251894,Alnavar,28108,3,Alnavar (TP) - Ward No.3
251894,Alnavar,28109,4,Alnavar (TP) - Ward No.4
251894,Alnavar,28110,5,Alnavar (TP) - Ward No.5
251894,Alnavar,28111,6,Alnavar (TP) - Ward No.6
251894,Alnavar,28112,7,Alnavar (TP) - Ward No.7
251894,Alnavar,28113,8,Alnavar (TP) - Ward No.8
251894,Alnavar,28114,9,Alnavar (TP) - Ward No.9
252013,Alur,27791,1,Alur (TP) - Ward No.1
252013,Alur,27800,10,Alur (TP) - Ward No.10
252013,Alur,27801,11,Alur (TP) - Ward No.11
252013,Alur,27792,2,Alur (TP) - Ward No.2
252013,Alur,27793,3,Alur (TP) - Ward No.3
252013,Alur,27794,4,Alur (TP) - Ward No.4
252013,Alur,27795,5,Alur (TP) - Ward No.5
252013,Alur,27796,6,Alur (TP) - Ward No.6
252013,Alur,27797,7,Alur (TP) - Ward No.7
252013,Alur,27798,8,Alur (TP) - Ward No.8
252013,Alur,27799,9,Alur (TP) - Ward No.9
276597,AMINAGAD,1294036,1,Ward-1
276597,AMINAGAD,1294045,10,Ward-10
276597,AMINAGAD,1294046,11,Ward-11
276597,AMINAGAD,1294047,12,Ward-12
276597,AMINAGAD,1294048,13,Ward-13
276597,AMINAGAD,1294049,14,Ward-14
276597,AMINAGAD,1294050,15,Ward-15
276597,AMINAGAD,1294051,16,Ward-16
276597,AMINAGAD,1294037,2,Ward-2
276597,AMINAGAD,1294038,3,Ward-3
276597,AMINAGAD,1294039,4,Ward-4
276597,AMINAGAD,1294040,5,Ward-5
276597,AMINAGAD,1294041,6,Ward-6
276597,AMINAGAD,1294042,7,Ward-7
276597,AMINAGAD,1294043,8,Ward-8
276597,AMINAGAD,1294044,9,Ward-9
253189,Anekal,26451,103,Arehalli  (OG) - Ward No.103
253189,Anekal,25883,1,Bangalore (M Corp.) - Ward No.1
253189,Anekal,25981,10,Bangalore (M Corp.) - Ward No.10
253189,Anekal,26448,100,Bangalore (M Corp.) - Ward No.100
253189,Anekal,25982,11,Bangalore (M Corp.) - Ward No.11
253189,Anekal,25983,12,Bangalore (M Corp.) - Ward No.12
253189,Anekal,25984,13,Bangalore (M Corp.) - Ward No.13
253189,Anekal,25985,14,Bangalore (M Corp.) - Ward No.14
253189,Anekal,25986,15,Bangalore (M Corp.) - Ward No.15
253189,Anekal,25987,16,Bangalore (M Corp.) - Ward No.16
253189,Anekal,25988,17,Bangalore (M Corp.) - Ward No.17
253189,Anekal,25989,18,Bangalore (M Corp.) - Ward No.18
253189,Anekal,25990,19,Bangalore (M Corp.) - Ward No.19
253189,Anekal,25884,2,Bangalore (M Corp.) - Ward No.2
253189,Anekal,25991,20,Bangalore (M Corp.) - Ward No.20
253189,Anekal,25992,21,Bangalore (M Corp.) - Ward No.21
253189,Anekal,25993,22,Bangalore (M Corp.) - Ward No.22
253189,Anekal,25994,23,Bangalore (M Corp.) - Ward No.23
253189,Anekal,25995,24,Bangalore (M Corp.) - Ward No.24
253189,Anekal,25996,25,Bangalore (M Corp.) - Ward No.25
253189,Anekal,25997,26,Bangalore (M Corp.) - Ward No.26
253189,Anekal,25998,27,Bangalore (M Corp.) - Ward No.27
253189,Anekal,25999,28,Bangalore (M Corp.) - Ward No.28
253189,Anekal,26000,29,Bangalore (M Corp.) - Ward No.29
253189,Anekal,25974,3,Bangalore (M Corp.) - Ward No.3
253189,Anekal,26001,30,Bangalore (M Corp.) - Ward No.30
253189,Anekal,26002,31,Bangalore (M Corp.) - Ward No.31
253189,Anekal,26003,32,Bangalore (M Corp.) - Ward No.32
253189,Anekal,26004,33,Bangalore (M Corp.) - Ward No.33
253189,Anekal,26005,34,Bangalore (M Corp.) - Ward No.34
253189,Anekal,26006,35,Bangalore (M Corp.) - Ward No.35
253189,Anekal,26007,36,Bangalore (M Corp.) - Ward No.36
253189,Anekal,26008,37,Bangalore (M Corp.) - Ward No.37
253189,Anekal,26009,38,Bangalore (M Corp.) - Ward No.38
253189,Anekal,26010,39,Bangalore (M Corp.) - Ward No.39
253189,Anekal,25975,4,Bangalore (M Corp.) - Ward No.4
253189,Anekal,26011,40,Bangalore (M Corp.) - Ward No.40
253189,Anekal,26012,41,Bangalore (M Corp.) - Ward No.41
253189,Anekal,26013,42,Bangalore (M Corp.) - Ward No.42
253189,Anekal,26014,43,Bangalore (M Corp.) - Ward No.43
253189,Anekal,26015,44,Bangalore (M Corp.) - Ward No.44
253189,Anekal,26016,45,Bangalore (M Corp.) - Ward No.45
253189,Anekal,26017,46,Bangalore (M Corp.) - Ward No.46
253189,Anekal,26018,47,Bangalore (M Corp.) - Ward No.47
253189,Anekal,26019,48,Bangalore (M Corp.) - Ward No.48
253189,Anekal,26020,49,Bangalore (M Corp.) - Ward No.49
253189,Anekal,25976,5,Bangalore (M Corp.) - Ward No.5
253189,Anekal,26021,50,Bangalore (M Corp.) - Ward No.50
253189,Anekal,26022,51,Bangalore (M Corp.) - Ward No.51
253189,Anekal,26023,52,Bangalore (M Corp.) - Ward No.52
253189,Anekal,26024,53,Bangalore (M Corp.) - Ward No.53
253189,Anekal,26025,54,Bangalore (M Corp.) - Ward No.54
253189,Anekal,26026,55,Bangalore (M Corp.) - Ward No.55
